#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 3.925616e+01  2.301422e+00 -3.695474e+01  0.000000e+00
 2.829430e+01  8.455848e-01 -2.744871e+01  0.000000e+00
 1.881428e+01  7.339895e-01 -1.808029e+01  0.000000e+00
 1.123800e+01  1.014433e+00 -1.022357e+01  0.000000e+00
 5.650206e+00  1.099739e+00 -4.550468e+00  0.000000e+00
 1.967708e+00  8.725006e-01 -1.095207e+00  4.024279e-01
 1.056610e-01  4.489848e-01  3.433237e-01  4.747229e-01
 0.000000e+00  0.000000e+00  0.000000e+00  4.747229e-01
 1.054018e-01  4.509036e-01  3.455018e-01  4.747229e-01
 1.967486e+00  8.693084e-01 -1.098177e+00  4.024503e-01
 5.650296e+00  1.129045e+00 -4.521251e+00  0.000000e+00
 1.123827e+01  1.017069e+00 -1.022120e+01  0.000000e+00
 1.881493e+01  7.435491e-01 -1.807138e+01  0.000000e+00
 2.829444e+01  8.705741e-01 -2.742386e+01  0.000000e+00
 3.925561e+01  2.205500e+00 -3.705011e+01  0.000000e+00
