#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.110312e-01  1.301958e+00  7.909271e-01  3.927731e-01
 1.998460e+00  5.105557e+00  3.107097e+00  3.304087e-01
 4.181900e+00  1.080834e+01  6.626442e+00  2.150660e-01
 6.640654e+00  1.720006e+01  1.055940e+01  0.000000e+00
 8.908282e+00  2.374094e+01  1.483265e+01  0.000000e+00
 9.966592e+00  2.960033e+01  1.963374e+01  0.000000e+00
 9.466016e+00  2.439302e+01  1.492701e+01  0.000000e+00
 8.063762e+00  1.774601e+01  9.682250e+00  0.000000e+00
 6.315583e+00  1.103945e+01  4.723865e+00  0.000000e+00
 4.887780e+00  5.474198e+00  5.864179e-01  1.960357e-01
 4.028204e+00  1.894568e+00 -2.133636e+00  2.199436e-01
 3.751524e+00  6.566470e-01 -3.094877e+00  2.295542e-01
 4.028442e+00  1.883280e+00 -2.145162e+00  2.199358e-01
 4.887553e+00  5.467331e+00  5.797784e-01  1.960411e-01
 6.315576e+00  1.103952e+01  4.723942e+00  0.000000e+00
 8.063766e+00  1.774467e+01  9.680901e+00  0.000000e+00
 9.465340e+00  2.437270e+01  1.490736e+01  0.000000e+00
 9.966620e+00  2.960321e+01  1.963659e+01  0.000000e+00
 8.908770e+00  2.374450e+01  1.483573e+01  0.000000e+00
 6.641523e+00  1.719831e+01  1.055678e+01  0.000000e+00
 4.181769e+00  1.080945e+01  6.627680e+00  2.150700e-01
 1.997812e+00  5.080788e+00  3.082977e+00  3.304622e-01
 5.126132e-01  1.310525e+00  7.979119e-01  3.927731e-01
 0.000000e+00  0.000000e+00  0.000000e+00  3.927731e-01
