#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.110312e-01  1.225519e+00  7.144878e-01  3.927731e-01
 1.998460e+00  4.805448e+00  2.806988e+00  3.304087e-01
 4.181900e+00  1.015409e+01  5.972186e+00  2.150660e-01
 6.640654e+00  1.609719e+01  9.456535e+00  0.000000e+00
 8.908282e+00  2.217082e+01  1.326254e+01  0.000000e+00
 9.966592e+00  2.748177e+01  1.751518e+01  0.000000e+00
 9.466016e+00  2.276455e+01  1.329854e+01  0.000000e+00
 8.063762e+00  1.665161e+01  8.587845e+00  0.000000e+00
 6.315583e+00  1.040594e+01  4.090355e+00  0.000000e+00
 4.887780e+00  5.184276e+00  2.964959e-01  1.960357e-01
 4.028204e+00  1.820732e+00 -2.207471e+00  2.199436e-01
 3.751524e+00  6.566470e-01 -3.094877e+00  2.295542e-01
 4.028442e+00  1.809438e+00 -2.219004e+00  2.199358e-01
 4.887553e+00  5.177505e+00  2.899522e-01  1.960411e-01
 6.315576e+00  1.040601e+01  4.090431e+00  0.000000e+00
 8.063766e+00  1.665029e+01  8.586521e+00  0.000000e+00
 9.465340e+00  2.274540e+01  1.328006e+01  0.000000e+00
 9.966620e+00  2.748452e+01  1.751790e+01  0.000000e+00
 8.908770e+00  2.217398e+01  1.326521e+01  0.000000e+00
 6.641523e+00  1.609517e+01  9.453652e+00  0.000000e+00
 4.181769e+00  1.015524e+01  5.973469e+00  2.150700e-01
 1.997812e+00  4.780435e+00  2.782623e+00  3.304622e-01
 5.126132e-01  1.234097e+00  7.214841e-01  3.927731e-01
 0.000000e+00  0.000000e+00  0.000000e+00  3.927731e-01
