#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 7.600375e-01 -1.037216e+00 -1.797254e+00  2.657709e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.657709e-01
 3.422462e-02  3.517254e+00  3.483030e+00  2.657709e-01
 8.055221e-01  8.880110e+00  8.074588e+00  2.657709e-01
 2.011939e+00  1.491559e+01  1.290365e+01  2.228197e-01
 2.848419e+00  1.911932e+01  1.627090e+01  1.833302e-01
 3.174284e+00  1.773603e+01  1.456175e+01  1.717971e-01
 3.055263e+00  1.290925e+01  9.853982e+00  1.757942e-01
 2.821939e+00  8.596603e+00  5.774664e+00  1.843529e-01
 3.487233e+00  6.195783e+00  2.708549e+00  1.623232e-01
 5.199454e+00  5.770238e+00  5.707847e-01  0.000000e+00
 7.098663e+00  6.485082e+00 -6.135806e-01  0.000000e+00
 6.610744e+00  6.937768e+00  3.270238e-01  0.000000e+00
 4.844569e+00  8.300790e+00  3.456221e+00  1.333447e-01
 3.649092e+00  1.086799e+01  7.218903e+00  1.579411e-01
 3.261083e+00  1.436288e+01  1.110180e+01  1.690257e-01
 3.170610e+00  1.775249e+01  1.458188e+01  1.719171e-01
 2.849776e+00  1.912510e+01  1.627533e+01  1.832782e-01
 2.011209e+00  1.491337e+01  1.290216e+01  2.228604e-01
 8.050412e-01  8.875698e+00  8.070657e+00  2.657709e-01
 3.432809e-02  3.523953e+00  3.489625e+00  2.657709e-01
 6.881269e-04  5.163142e-03  4.475016e-03  2.657709e-01
 7.590671e-01 -1.042272e+00 -1.801339e+00  2.657709e-01
 2.130175e+00  3.188709e-01 -1.811304e+00  2.163479e-01
