#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 7.600375e-01  2.285785e+00  1.525748e+00  2.657709e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.657709e-01
 3.422462e-02 -5.855865e-01 -6.198111e-01  2.657709e-01
 8.055221e-01  3.100819e-01 -4.954402e-01  2.657709e-01
 2.011939e+00  2.029071e+00  1.713216e-02  2.228197e-01
 2.848419e+00  4.024638e+00  1.176219e+00  1.833302e-01
 3.174284e+00  5.607960e+00  2.433676e+00  1.717971e-01
 3.055263e+00  4.444918e+00  1.389655e+00  1.757942e-01
 2.821939e+00  4.738273e+00  1.916333e+00  1.843529e-01
 3.487233e+00  6.406850e+00  2.919617e+00  1.623232e-01
 5.199454e+00  9.270891e+00  4.071437e+00  0.000000e+00
 7.098663e+00  1.206661e+01  4.967949e+00  0.000000e+00
 6.610744e+00  1.138920e+01  4.778453e+00  0.000000e+00
 4.844569e+00  9.408023e+00  4.563453e+00  1.333447e-01
 3.649092e+00  7.861806e+00  4.212714e+00  1.579411e-01
 3.261083e+00  6.774365e+00  3.513281e+00  1.690257e-01
 3.170610e+00  5.624027e+00  2.453417e+00  1.719171e-01
 2.849776e+00  4.028851e+00  1.179075e+00  1.832782e-01
 2.011209e+00  2.027980e+00  1.677167e-02  2.228604e-01
 8.050412e-01  3.059587e-01 -4.990825e-01  2.657709e-01
 3.432809e-02 -5.753545e-01 -6.096826e-01  2.657709e-01
 6.881269e-04  8.794080e-03  8.105953e-03  2.657709e-01
 7.590671e-01  2.278647e+00  1.519580e+00  2.657709e-01
 2.130175e+00  5.690692e+00  3.560517e+00  2.163479e-01
