#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 3.302424e+01  2.667640e+01 -6.347847e+00  0.000000e+00
 2.299876e+01  1.945038e+01 -3.548380e+00  0.000000e+00
 1.449621e+01  1.281074e+01 -1.685471e+00  0.000000e+00
 7.936319e+00  7.331113e+00 -6.052061e-01  0.000000e+00
 3.434249e+00  3.228050e+00 -2.061987e-01  3.179021e-01
 8.426618e-01  7.426853e-01 -9.997654e-02  5.157120e-01
 0.000000e+00  0.000000e+00  0.000000e+00  5.157120e-01
 8.426526e-01  7.425331e-01 -1.001195e-01  5.157120e-01
 3.434249e+00  3.228049e+00 -2.061998e-01  3.179021e-01
 7.936325e+00  7.331118e+00 -6.052073e-01  0.000000e+00
 1.449621e+01  1.281073e+01 -1.685471e+00  0.000000e+00
 2.299876e+01  1.945038e+01 -3.548375e+00  0.000000e+00
 3.302424e+01  2.667640e+01 -6.347850e+00  0.000000e+00
