#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.248638e+01  1.591254e+01  3.426157e+00  0.000000e+00
 1.206584e+01  1.884586e+01  6.780022e+00  0.000000e+00
 1.242354e+01  2.331328e+01  1.088974e+01  0.000000e+00
 1.322327e+01  2.880298e+01  1.557971e+01  0.000000e+00
 1.370875e+01  3.427282e+01  2.056408e+01  0.000000e+00
 1.287510e+01  3.300798e+01  2.013288e+01  0.000000e+00
 1.056788e+01  2.583306e+01  1.526518e+01  0.000000e+00
 7.524727e+00  1.806490e+01  1.054018e+01  0.000000e+00
 4.488966e+00  1.078549e+01  6.296523e+00  2.361787e-01
 2.036856e+00  4.893386e+00  2.856530e+00  3.748890e-01
 5.056748e-01  1.162837e+00  6.571624e-01  4.499465e-01
 0.000000e+00  0.000000e+00  0.000000e+00  4.499465e-01
 5.056640e-01  1.162134e+00  6.564703e-01  4.499465e-01
 2.036855e+00  4.893424e+00  2.856569e+00  3.748891e-01
 4.488967e+00  1.078553e+01  6.296558e+00  2.361787e-01
 7.524722e+00  1.806490e+01  1.054018e+01  0.000000e+00
 1.056786e+01  2.583214e+01  1.526428e+01  0.000000e+00
 1.287508e+01  3.300846e+01  2.013338e+01  0.000000e+00
 1.370873e+01  3.427285e+01  2.056413e+01  0.000000e+00
 1.322325e+01  2.880764e+01  1.558439e+01  0.000000e+00
 1.242372e+01  2.331988e+01  1.089615e+01  0.000000e+00
 1.206585e+01  1.884622e+01  6.780379e+00  0.000000e+00
 1.248630e+01  1.589263e+01  3.406330e+00  0.000000e+00
 1.370311e+01  1.460936e+01  9.062518e-01  0.000000e+00
