#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 2.072797e-01  1.093424e-01 -9.793730e-02  2.465066e-01
 8.232089e-01  4.528861e-01 -3.703228e-01  2.465066e-01
 1.830139e+00  9.966157e-01 -8.335234e-01  2.162284e-01
 3.077310e+00  1.670143e+00 -1.407168e+00  1.623485e-01
 4.234779e+00  2.240951e+00 -1.993828e+00  1.339666e-01
 4.731083e+00  2.406239e+00 -2.324845e+00  1.254236e-01
 4.252795e+00  2.143107e+00 -2.109688e+00  1.336273e-01
 3.127467e+00  1.615304e+00 -1.512163e+00  1.607769e-01
 1.877656e+00  1.048285e+00 -8.293710e-01  2.137066e-01
 8.451620e-01  6.012823e-01 -2.438796e-01  2.465066e-01
 2.123960e-01  3.208480e-01  1.084520e-01  2.465066e-01
 2.670053e-04  2.319591e-01  2.316921e-01  2.465066e-01
 2.125523e-01  3.242324e-01  1.116801e-01  2.465066e-01
 8.451568e-01  6.079123e-01 -2.372445e-01  2.465066e-01
 1.877056e+00  1.056173e+00 -8.208826e-01  2.137384e-01
 3.127465e+00  1.615322e+00 -1.512143e+00  1.607769e-01
 4.252791e+00  2.142968e+00 -2.109823e+00  1.336273e-01
 4.731088e+00  2.406108e+00 -2.324981e+00  1.254235e-01
 4.234777e+00  2.237543e+00 -1.997234e+00  1.339666e-01
 3.077310e+00  1.670133e+00 -1.407176e+00  1.623485e-01
 1.830147e+00  9.969121e-01 -8.332350e-01  2.162279e-01
 8.232131e-01  4.528835e-01 -3.703296e-01  2.465066e-01
 2.072784e-01  1.093448e-01 -9.793359e-02  2.465066e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.465066e-01
