#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.702281e-01  8.404385e-02 -8.618428e-02  2.949416e-01
 3.527061e-02  9.972768e-02  6.445707e-02  2.949416e-01
 7.912199e-01  1.192615e+00  4.013952e-01  2.949416e-01
 2.308451e+00  3.114439e+00  8.059874e-01  2.298327e-01
 4.121787e+00  5.304870e+00  1.183083e+00  1.629029e-01
 5.379983e+00  7.487447e+00  2.107464e+00  0.000000e+00
 6.073201e+00  9.731501e+00  3.658301e+00  0.000000e+00
 6.009690e+00  9.980833e+00  3.971143e+00  0.000000e+00
 5.288005e+00  8.192981e+00  2.904975e+00  0.000000e+00
 4.198228e+00  5.706590e+00  1.508362e+00  1.611217e-01
 2.763852e+00  3.282266e+00  5.184140e-01  2.071307e-01
 1.304725e+00  1.279864e+00 -2.486052e-02  2.884663e-01
 2.830429e-01  5.595177e-02 -2.270911e-01  2.949416e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.949416e-01
 6.801608e-01  1.142179e+00  4.620179e-01  2.949416e-01
 2.211983e+00  3.061043e+00  8.490601e-01  2.352935e-01
 3.998899e+00  5.147963e+00  1.149064e+00  1.658852e-01
 5.247487e+00  7.158966e+00  1.911479e+00  0.000000e+00
 6.015475e+00  9.429160e+00  3.413685e+00  0.000000e+00
 5.988335e+00  1.017086e+01  4.182529e+00  0.000000e+00
 5.144636e+00  8.193172e+00  3.048536e+00  0.000000e+00
 3.942552e+00  5.592708e+00  1.650155e+00  1.673044e-01
 2.469627e+00  3.132169e+00  6.625418e-01  2.212182e-01
 1.064341e+00  1.175797e+00  1.114562e-01  2.946371e-01
