#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.702281e-01  8.413298e-02 -8.609515e-02  2.949416e-01
 3.527061e-02  9.971699e-02  6.444637e-02  2.949416e-01
 7.912199e-01  1.192472e+00  4.012524e-01  2.949416e-01
 2.308451e+00  3.114147e+00  8.056959e-01  2.298327e-01
 4.121787e+00  5.304441e+00  1.182653e+00  1.629029e-01
 5.379983e+00  7.486961e+00  2.106977e+00  0.000000e+00
 6.073201e+00  9.731084e+00  3.657883e+00  0.000000e+00
 6.009690e+00  9.980581e+00  3.970892e+00  0.000000e+00
 5.288005e+00  8.192892e+00  2.904887e+00  0.000000e+00
 4.198228e+00  5.706634e+00  1.508407e+00  1.611217e-01
 2.763852e+00  3.282392e+00  5.185397e-01  2.071307e-01
 1.304725e+00  1.280007e+00 -2.471772e-02  2.884663e-01
 2.830429e-01  5.604937e-02 -2.269935e-01  2.949416e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.949416e-01
 6.801608e-01  1.142044e+00  4.618827e-01  2.949416e-01
 2.211983e+00  3.060756e+00  8.487727e-01  2.352935e-01
 3.998899e+00  5.147542e+00  1.148643e+00  1.658852e-01
 5.247487e+00  7.158482e+00  1.910995e+00  0.000000e+00
 6.015475e+00  9.428715e+00  3.413240e+00  0.000000e+00
 5.988335e+00  1.017061e+01  4.182280e+00  0.000000e+00
 5.144636e+00  8.193098e+00  3.048462e+00  0.000000e+00
 3.942552e+00  5.592763e+00  1.650210e+00  1.673044e-01
 2.469627e+00  3.132299e+00  6.626717e-01  2.212182e-01
 1.064341e+00  1.175938e+00  1.115964e-01  2.946371e-01
