#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 3.815804e+00  3.924054e+00  1.082505e-01  1.715146e-01
 4.001743e+00  3.927351e+00 -7.439206e-02  1.666806e-01
 4.450332e+00  4.482562e+00  3.222936e-02  1.564267e-01
 4.838640e+00  5.336297e+00  4.976573e-01  1.488610e-01
 5.179261e+00  5.959764e+00  7.805035e-01  0.000000e+00
 4.940691e+00  6.154284e+00  1.213593e+00  1.470404e-01
 4.036027e+00  5.030714e+00  9.946875e-01  1.658299e-01
 2.903477e+00  3.247481e+00  3.440037e-01  2.021913e-01
 1.709974e+00  1.277768e+00 -4.322060e-01  2.677208e-01
 6.053291e-01  1.455585e-01 -4.597706e-01  2.964822e-01
 1.033791e-01 -1.319348e-01 -2.353139e-01  2.964822e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.964822e-01
 1.033819e-01 -1.320031e-01 -2.353850e-01  2.964822e-01
 6.053291e-01  1.455222e-01 -4.598069e-01  2.964822e-01
 1.709965e+00  1.277216e+00 -4.327498e-01  2.677214e-01
 2.902908e+00  3.258510e+00  3.556027e-01  2.022150e-01
 4.036202e+00  5.032807e+00  9.966056e-01  1.658256e-01
 4.940826e+00  6.154261e+00  1.213435e+00  1.470381e-01
 5.179298e+00  5.959141e+00  7.798437e-01  0.000000e+00
 4.838554e+00  5.338130e+00  4.995760e-01  1.488625e-01
 4.450397e+00  4.486390e+00  3.599328e-02  1.564254e-01
 4.001920e+00  3.929097e+00 -7.282351e-02  1.666762e-01
 3.815802e+00  3.924071e+00  1.082688e-01  1.715146e-01
 3.809540e+00  4.021896e+00  2.123567e-01  1.716842e-01
