#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 3.815804e+00  3.924816e+00  1.090125e-01  1.715146e-01
 4.001743e+00  3.929957e+00 -7.178566e-02  1.666806e-01
 4.450332e+00  4.487535e+00  3.720265e-02  1.564267e-01
 4.838640e+00  5.343430e+00  5.047896e-01  1.488610e-01
 5.179261e+00  5.968995e+00  7.897346e-01  0.000000e+00
 4.940691e+00  6.164899e+00  1.224208e+00  1.470404e-01
 4.036027e+00  5.040496e+00  1.004470e+00  1.658299e-01
 2.903477e+00  3.255374e+00  3.518974e-01  2.021913e-01
 1.709974e+00  1.283138e+00 -4.268358e-01  2.677208e-01
 6.053291e-01  1.485872e-01 -4.567418e-01  2.964822e-01
 1.033791e-01 -1.308931e-01 -2.342722e-01  2.964822e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.964822e-01
 1.033819e-01 -1.309615e-01 -2.343433e-01  2.964822e-01
 6.053291e-01  1.485510e-01 -4.567782e-01  2.964822e-01
 1.709965e+00  1.282586e+00 -4.273793e-01  2.677214e-01
 2.902908e+00  3.266412e+00  3.635047e-01  2.022150e-01
 4.036202e+00  5.042589e+00  1.006388e+00  1.658256e-01
 4.940826e+00  6.164876e+00  1.224050e+00  1.470381e-01
 5.179298e+00  5.968372e+00  7.890746e-01  0.000000e+00
 4.838554e+00  5.345263e+00  5.067086e-01  1.488625e-01
 4.450397e+00  4.491364e+00  4.096661e-02  1.564254e-01
 4.001920e+00  3.931703e+00 -7.021733e-02  1.666762e-01
 3.815802e+00  3.924833e+00  1.090307e-01  1.715146e-01
 3.809540e+00  4.021896e+00  2.123567e-01  1.716842e-01
