#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.476064e+00 -4.735305e+00 -6.211369e+00  2.029927e-01
 3.982303e-01 -2.575277e+00 -2.973507e+00  2.136286e-01
 1.459993e-01  1.331067e+00  1.185067e+00  2.136286e-01
 4.251826e-01  6.270686e+00  5.845503e+00  2.136286e-01
 7.918365e-01  1.130821e+01  1.051637e+01  2.136286e-01
 9.359278e-01  1.500567e+01  1.406974e+01  2.136286e-01
 6.756578e-01  1.078746e+01  1.011181e+01  2.136286e-01
 2.013413e-01  5.202103e+00  5.000761e+00  2.136286e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.136286e-01
 4.626413e-01 -3.803133e+00 -4.265774e+00  2.136286e-01
 1.971368e+00 -5.713645e+00 -7.685013e+00  1.809298e-01
 4.314786e+00 -4.899665e+00 -9.214451e+00  1.148086e-01
 2.058018e+00 -5.230387e+00 -7.288405e+00  1.770541e-01
 6.686651e-01 -3.446989e+00 -4.115654e+00  2.136286e-01
 1.523448e-01  1.405615e-01 -1.178327e-02  2.136286e-01
 3.082487e-01  5.046615e+00  4.738366e+00  2.136286e-01
 7.084320e-01  1.053403e+01  9.825594e+00  2.136286e-01
 9.365647e-01  1.493799e+01  1.400143e+01  2.136286e-01
 7.665747e-01  1.146989e+01  1.070331e+01  2.136286e-01
 3.197558e-01  6.334512e+00  6.014756e+00  2.136286e-01
 2.254623e-02  1.208787e+00  1.186241e+00  2.136286e-01
 1.892291e-01 -2.869367e+00 -3.058596e+00  2.136286e-01
 1.339974e+00 -5.153058e+00 -6.493032e+00  2.078662e-01
 3.516761e+00 -5.192851e+00 -8.709612e+00  1.298144e-01
