#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.476064e+00  1.789114e+00  3.130496e-01  2.029927e-01
 3.982303e-01  6.163242e-01  2.180939e-01  2.136286e-01
 1.459993e-01  2.580065e-01  1.120072e-01  2.136286e-01
 4.251826e-01  5.716121e-01  1.464295e-01  2.136286e-01
 7.918365e-01  1.203632e+00  4.117958e-01  2.136286e-01
 9.359278e-01  1.584138e+00  6.482106e-01  2.136286e-01
 6.756578e-01  1.191176e+00  5.155186e-01  2.136286e-01
 2.013413e-01  4.845841e-01  2.832428e-01  2.136286e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.136286e-01
 4.626413e-01  2.509949e-01 -2.116463e-01  2.136286e-01
 1.971368e+00  1.322823e+00 -6.485452e-01  1.809298e-01
 4.314786e+00  3.711600e+00 -6.031856e-01  1.148086e-01
 2.058018e+00  1.844730e+00 -2.132884e-01  1.770541e-01
 6.686651e-01  6.437862e-01 -2.487885e-02  2.136286e-01
 1.523448e-01  1.832833e-01  3.093845e-02  2.136286e-01
 3.082487e-01  4.284503e-01  1.202016e-01  2.136286e-01
 7.084320e-01  1.117409e+00  4.089770e-01  2.136286e-01
 9.365647e-01  1.586298e+00  6.497336e-01  2.136286e-01
 7.665747e-01  1.314149e+00  5.475747e-01  2.136286e-01
 3.197558e-01  6.442434e-01  3.244876e-01  2.136286e-01
 2.254623e-02  1.523689e-01  1.298226e-01  2.136286e-01
 1.892291e-01  3.041734e-01  1.149444e-01  2.136286e-01
 1.339974e+00  1.319172e+00 -2.080285e-02  2.078662e-01
 3.516761e+00  3.192962e+00 -3.237987e-01  1.298144e-01
