#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 4.502110e-01  1.198060e+00  7.478491e-01  3.150681e-01
 1.729140e+00  4.678522e+00  2.949382e+00  2.832141e-01
 3.627335e+00  9.910477e+00  6.283143e+00  1.879135e-01
 5.886966e+00  1.607778e+01  1.019082e+01  0.000000e+00
 8.153022e+00  2.249383e+01  1.434081e+01  0.000000e+00
 9.308065e+00  2.851251e+01  1.920444e+01  0.000000e+00
 8.378706e+00  2.354188e+01  1.516318e+01  0.000000e+00
 6.349283e+00  1.650553e+01  1.015625e+01  0.000000e+00
 4.154074e+00  9.612193e+00  5.458119e+00  1.732084e-01
 2.347537e+00  4.046232e+00  1.698695e+00  2.432215e-01
 1.227490e+00  4.973317e-01 -7.301587e-01  3.111187e-01
 8.636964e-01 -7.143723e-01 -1.578069e+00  3.150681e-01
 1.227334e+00  4.944648e-01 -7.328697e-01  3.111240e-01
 2.348368e+00  4.045549e+00  1.697180e+00  2.431731e-01
 4.154093e+00  9.616007e+00  5.461915e+00  1.732079e-01
 6.349031e+00  1.650650e+01  1.015747e+01  0.000000e+00
 8.379094e+00  2.354479e+01  1.516569e+01  0.000000e+00
 9.307825e+00  2.850710e+01  1.919928e+01  0.000000e+00
 8.152989e+00  2.249267e+01  1.433968e+01  0.000000e+00
 5.886962e+00  1.607776e+01  1.019080e+01  0.000000e+00
 3.627338e+00  9.910458e+00  6.283120e+00  1.879134e-01
 1.729143e+00  4.678565e+00  2.949422e+00  2.832139e-01
 4.510629e-01  1.209552e+00  7.584894e-01  3.150681e-01
 0.000000e+00  0.000000e+00  0.000000e+00  3.150681e-01
