#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 4.502110e-01  6.839177e-01  2.337067e-01  3.150681e-01
 1.729140e+00  2.656368e+00  9.272281e-01  2.832141e-01
 3.627335e+00  5.517356e+00  1.890021e+00  1.879135e-01
 5.886966e+00  8.752503e+00  2.865537e+00  0.000000e+00
 8.153022e+00  1.200714e+01  3.854122e+00  0.000000e+00
 9.308065e+00  1.447131e+01  5.163241e+00  0.000000e+00
 8.378706e+00  1.238556e+01  4.006858e+00  0.000000e+00
 6.349283e+00  8.954884e+00  2.605600e+00  0.000000e+00
 4.154074e+00  5.236900e+00  1.082826e+00  1.732084e-01
 2.347537e+00  2.069430e+00 -2.781065e-01  2.432215e-01
 1.227490e+00  1.784049e-03 -1.225706e+00  3.111187e-01
 8.636964e-01 -7.144126e-01 -1.578109e+00  3.150681e-01
 1.227334e+00  6.416351e-04 -1.226693e+00  3.111240e-01
 2.348368e+00  2.069410e+00 -2.789584e-01  2.431731e-01
 4.154093e+00  5.239419e+00  1.085327e+00  1.732079e-01
 6.349031e+00  8.956544e+00  2.607513e+00  0.000000e+00
 8.379094e+00  1.238989e+01  4.010800e+00  0.000000e+00
 9.307825e+00  1.446299e+01  5.155166e+00  0.000000e+00
 8.152989e+00  1.200663e+01  3.853639e+00  0.000000e+00
 5.886962e+00  8.752482e+00  2.865520e+00  0.000000e+00
 3.627338e+00  5.517331e+00  1.889993e+00  1.879134e-01
 1.729143e+00  2.653569e+00  9.244257e-01  2.832139e-01
 4.510629e-01  6.952871e-01  2.442242e-01  3.150681e-01
 0.000000e+00  0.000000e+00  0.000000e+00  3.150681e-01
