#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 8.814806e-01  4.269199e-01 -4.545607e-01  3.024738e-01
 1.782847e+00  3.320320e+00  1.537474e+00  2.684043e-01
 3.673269e+00  8.234718e+00  4.561449e+00  1.790387e-01
 6.582480e+00  1.445880e+01  7.876321e+00  0.000000e+00
 1.022569e+01  2.088106e+01  1.065538e+01  0.000000e+00
 1.362821e+01  2.514684e+01  1.151863e+01  0.000000e+00
 1.079371e+01  2.099322e+01  1.019951e+01  0.000000e+00
 6.791753e+00  1.461359e+01  7.821841e+00  0.000000e+00
 3.473043e+00  8.496164e+00  5.023121e+00  1.851952e-01
 1.320456e+00  3.674564e+00  2.354108e+00  2.951714e-01
 2.831742e-01  8.723621e-01  5.891879e-01  3.024738e-01
 0.000000e+00  0.000000e+00  0.000000e+00  3.024738e-01
 2.844192e-01  8.408693e-01  5.564500e-01  3.024738e-01
 1.320369e+00  3.686924e+00  2.366556e+00  2.951751e-01
 3.472906e+00  8.512482e+00  5.039577e+00  1.851996e-01
 6.791645e+00  1.462047e+01  7.828825e+00  0.000000e+00
 1.079320e+01  2.099037e+01  1.019717e+01  0.000000e+00
 1.362795e+01  2.514450e+01  1.151654e+01  0.000000e+00
 1.022584e+01  2.089930e+01  1.067345e+01  0.000000e+00
 6.581436e+00  1.446917e+01  7.887733e+00  0.000000e+00
 3.672950e+00  8.224968e+00  4.552018e+00  1.790480e-01
 1.782502e+00  3.324469e+00  1.541966e+00  2.684267e-01
 8.805025e-01  3.935014e-01 -4.870012e-01  3.024738e-01
 6.783399e-01 -5.373031e-01 -1.215643e+00  3.024738e-01
