#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 8.814806e-01 -4.932628e-02 -9.308068e-01  3.024738e-01
 1.782847e+00  1.550095e+00 -2.327513e-01  2.684043e-01
 3.673269e+00  4.608163e+00  9.348942e-01  1.790387e-01
 6.582480e+00  8.604298e+00  2.021818e+00  0.000000e+00
 1.022569e+01  1.257947e+01  2.353781e+00  0.000000e+00
 1.362821e+01  1.442124e+01  7.930307e-01  0.000000e+00
 1.079371e+01  1.246316e+01  1.669448e+00  0.000000e+00
 6.791753e+00  8.650593e+00  1.858840e+00  0.000000e+00
 3.473043e+00  4.847575e+00  1.374532e+00  1.851952e-01
 1.320456e+00  1.919888e+00  5.994320e-01  2.951714e-01
 2.831742e-01  4.027618e-01  1.195876e-01  3.024738e-01
 0.000000e+00  0.000000e+00  0.000000e+00  3.024738e-01
 2.844192e-01  3.719290e-01  8.750973e-02  3.024738e-01
 1.320369e+00  1.933654e+00  6.132854e-01  2.951751e-01
 3.472906e+00  4.863082e+00  1.390177e+00  1.851996e-01
 6.791645e+00  8.656817e+00  1.865172e+00  0.000000e+00
 1.079320e+01  1.245925e+01  1.666055e+00  0.000000e+00
 1.362795e+01  1.441908e+01  7.911280e-01  0.000000e+00
 1.022584e+01  1.259784e+01  2.371995e+00  0.000000e+00
 6.581436e+00  8.614220e+00  2.032784e+00  0.000000e+00
 3.672950e+00  4.596911e+00  9.239608e-01  1.790480e-01
 1.782502e+00  1.553367e+00 -2.291355e-01  2.684267e-01
 8.805025e-01 -8.421462e-02 -9.647172e-01  3.024738e-01
 6.783399e-01 -5.373059e-01 -1.215646e+00  3.024738e-01
