#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 3.157975e+00  2.106185e+00 -1.051790e+00  1.433828e-01
 1.582200e+00  6.100547e-01 -9.721452e-01  2.055650e-01
 7.879555e-01  5.570292e-01 -2.309263e-01  2.211265e-01
 6.608277e-01  5.884891e-01 -7.233864e-02  2.211265e-01
 1.271832e+00  1.199958e+00 -7.187448e-02  2.172204e-01
 2.038174e+00  1.647853e+00 -3.903214e-01  1.841788e-01
 1.598769e+00  2.099988e+00  5.012184e-01  2.048207e-01
 4.300159e-01  8.126650e-01  3.826491e-01  2.211265e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.211265e-01
 8.811927e-02 -5.904974e-01 -6.786167e-01  2.211265e-01
 1.141841e+00  7.719446e-01 -3.698961e-01  2.200281e-01
 2.582538e+00  2.263585e+00 -3.189537e-01  1.616168e-01
 1.139442e+00  7.994378e-01 -3.400040e-01  2.200645e-01
 9.591859e-02 -5.860122e-01 -6.819307e-01  2.211265e-01
 5.023841e-03 -4.712805e-02 -5.215189e-02  2.211265e-01
 3.532860e-01  7.714421e-01  4.181562e-01  2.211265e-01
 1.448315e+00  2.047941e+00  5.996262e-01  2.112303e-01
 2.018782e+00  1.669946e+00 -3.488359e-01  1.850735e-01
 1.243333e+00  1.227738e+00 -1.559576e-02  2.179692e-01
 6.525258e-01  5.839639e-01 -6.856182e-02  2.211265e-01
 7.928519e-01  4.889452e-01 -3.039067e-01  2.211265e-01
 1.567495e+00  5.366255e-01 -1.030870e+00  2.062190e-01
 3.112030e+00  2.025231e+00 -1.086800e+00  1.446536e-01
 4.826128e+00  3.800628e+00 -1.025500e+00  1.111954e-01
