#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 3.157975e+00  2.094121e+00 -1.063855e+00  1.433828e-01
 1.582200e+00  6.035487e-01 -9.786511e-01  2.055650e-01
 7.879555e-01  5.581578e-01 -2.297977e-01  2.211265e-01
 6.608277e-01  5.964333e-01 -6.439440e-02  2.211265e-01
 1.271832e+00  1.213570e+00 -5.826283e-02  2.172204e-01
 2.038174e+00  1.663858e+00 -3.743165e-01  1.841788e-01
 1.598769e+00  2.113145e+00  5.143760e-01  2.048207e-01
 4.300159e-01  8.197914e-01  3.897755e-01  2.211265e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.211265e-01
 8.811927e-02 -5.974404e-01 -6.855597e-01  2.211265e-01
 1.141841e+00  7.595973e-01 -3.822434e-01  2.200281e-01
 2.582538e+00  2.247883e+00 -3.346555e-01  1.616168e-01
 1.139442e+00  7.869442e-01 -3.524975e-01  2.200645e-01
 9.591859e-02 -5.932361e-01 -6.891547e-01  2.211265e-01
 5.023841e-03 -4.736172e-02 -5.238556e-02  2.211265e-01
 3.532860e-01  7.782829e-01  4.249969e-01  2.211265e-01
 1.448315e+00  2.060756e+00  6.124405e-01  2.112303e-01
 2.018782e+00  1.685936e+00 -3.328464e-01  1.850735e-01
 1.243333e+00  1.240993e+00 -2.340357e-03  2.179692e-01
 6.525258e-01  5.913557e-01 -6.117010e-02  2.211265e-01
 7.928519e-01  4.895083e-01 -3.033437e-01  2.211265e-01
 1.567495e+00  5.298500e-01 -1.037645e+00  2.062190e-01
 3.112030e+00  2.013006e+00 -1.099024e+00  1.446536e-01
 4.826128e+00  3.784949e+00 -1.041178e+00  1.111954e-01
