#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 2.343701e-01  1.056274e+00  8.219037e-01  2.729480e-01
 1.066408e+00  4.185557e+00  3.119149e+00  2.726479e-01
 2.322086e+00  9.160813e+00  6.838727e+00  2.119968e-01
 3.800863e+00  1.534394e+01  1.154308e+01  1.582732e-01
 5.229233e+00  2.184415e+01  1.661492e+01  0.000000e+00
 5.865715e+00  2.720858e+01  2.134287e+01  0.000000e+00
 5.231391e+00  2.158298e+01  1.635158e+01  0.000000e+00
 3.797029e+00  1.504376e+01  1.124673e+01  1.583694e-01
 2.371520e+00  8.748539e+00  6.377018e+00  2.095036e-01
 1.194962e+00  3.889240e+00  2.694278e+00  2.704142e-01
 4.208823e-01  9.557532e-01  5.348710e-01  2.729480e-01
 2.063733e-01  1.459675e-03 -2.049136e-01  2.729480e-01
 5.141265e-01  1.072301e+00  5.581741e-01  2.729480e-01
 1.384254e+00  4.086701e+00  2.702447e+00  2.637105e-01
 2.645489e+00  9.156502e+00  6.511013e+00  1.967006e-01
 4.127706e+00  1.550940e+01  1.138170e+01  1.506259e-01
 5.601332e+00  2.226680e+01  1.666547e+01  0.000000e+00
 6.244829e+00  2.775896e+01  2.151413e+01  0.000000e+00
 5.577950e+00  2.209610e+01  1.651815e+01  0.000000e+00
 4.103934e+00  1.551761e+01  1.141367e+01  1.511477e-01
 2.557881e+00  9.305110e+00  6.747229e+00  2.006096e-01
 1.232978e+00  4.229525e+00  2.996547e+00  2.693649e-01
 3.189901e-01  1.083219e+00  7.642290e-01  2.729480e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.729480e-01
