#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 2.343701e-01  4.573255e-01  2.229554e-01  2.729480e-01
 1.066408e+00  1.941718e+00  8.753097e-01  2.726479e-01
 2.322086e+00  4.444343e+00  2.122257e+00  2.119968e-01
 3.800863e+00  7.627485e+00  3.826622e+00  1.582732e-01
 5.229233e+00  1.088187e+01  5.652637e+00  0.000000e+00
 5.865715e+00  1.320632e+01  7.340604e+00  0.000000e+00
 5.231391e+00  1.076631e+01  5.534923e+00  0.000000e+00
 3.797029e+00  7.499379e+00  3.702350e+00  1.583694e-01
 2.371520e+00  4.201848e+00  1.830327e+00  2.095036e-01
 1.194962e+00  1.783336e+00  5.883735e-01  2.704142e-01
 4.208823e-01  4.206163e-01 -2.660239e-04  2.729480e-01
 2.063733e-01  1.959596e-03 -2.044137e-01  2.729480e-01
 5.141265e-01  5.264644e-01  1.233784e-02  2.729480e-01
 1.384254e+00  1.963627e+00  5.793730e-01  2.637105e-01
 2.645489e+00  4.582075e+00  1.936585e+00  1.967006e-01
 4.127706e+00  7.912606e+00  3.784900e+00  1.506259e-01
 5.601332e+00  1.138450e+01  5.783170e+00  0.000000e+00
 6.244829e+00  1.377836e+01  7.533534e+00  0.000000e+00
 5.577950e+00  1.134529e+01  5.767342e+00  0.000000e+00
 4.103934e+00  7.959365e+00  3.855432e+00  1.511477e-01
 2.557881e+00  4.732706e+00  2.174824e+00  2.006096e-01
 1.232978e+00  2.085575e+00  8.525971e-01  2.693649e-01
 3.189901e-01  5.390130e-01  2.200229e-01  2.729480e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.729480e-01
