#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 7.695695e-02  7.890844e-01  7.121275e-01  2.090996e-01
 7.736244e-02  1.856998e-01  1.083373e-01  2.090996e-01
 5.572656e-01 -2.164127e-01 -7.736784e-01  2.090996e-01
 1.234887e+00 -3.669118e-01 -1.601798e+00  2.063110e-01
 1.751992e+00 -3.443844e-01 -2.096376e+00  1.869350e-01
 1.857772e+00 -3.112397e-01 -2.169012e+00  1.821713e-01
 1.538008e+00 -3.343192e-01 -1.872328e+00  1.962239e-01
 9.240464e-01 -4.270061e-01 -1.351052e+00  2.090996e-01
 3.274176e-01 -2.586152e-01 -5.860328e-01  2.090996e-01
 2.390253e-02 -3.519675e-02 -5.909927e-02  2.090996e-01
 1.345028e-01  4.760637e-01  3.415609e-01  2.090996e-01
 4.370920e-01  7.898935e-01  3.528015e-01  2.090996e-01
 1.179452e-01  4.957326e-01  3.777875e-01  2.090996e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.090996e-01
 3.009254e-01 -2.946442e-01 -5.955695e-01  2.090996e-01
 8.952919e-01 -3.331145e-01 -1.228406e+00  2.090996e-01
 1.505111e+00 -2.105885e-01 -1.715699e+00  1.975516e-01
 1.819299e+00 -2.015200e-01 -2.020819e+00  1.839047e-01
 1.716554e+00 -2.971379e-01 -2.013692e+00  1.885217e-01
 1.202796e+00 -2.882932e-01 -1.491089e+00  2.070034e-01
 5.302866e-01 -1.660021e-01 -6.962887e-01  2.090996e-01
 5.655291e-02  2.123050e-01  1.557521e-01  2.090996e-01
 6.401042e-02  8.136217e-01  7.496113e-01  2.090996e-01
 4.307191e-01  1.206155e+00  7.754356e-01  2.090996e-01
