#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 7.695695e-02  3.117452e-01  2.347883e-01  2.090996e-01
 7.736244e-02  3.019975e-01  2.246350e-01  2.090996e-01
 5.572656e-01  6.675016e-01  1.102360e-01  2.090996e-01
 1.234887e+00  1.352403e+00  1.175167e-01  2.063110e-01
 1.751992e+00  2.078549e+00  3.265574e-01  1.869350e-01
 1.857772e+00  2.351669e+00  4.938975e-01  1.821713e-01
 1.538008e+00  1.952716e+00  4.147080e-01  1.962239e-01
 9.240464e-01  1.121704e+00  1.976576e-01  2.090996e-01
 3.274176e-01  4.733231e-01  1.459056e-01  2.090996e-01
 2.390253e-02 -3.054172e-02 -5.444424e-02  2.090996e-01
 1.345028e-01 -5.066703e-02 -1.851699e-01  2.090996e-01
 4.370920e-01  4.729282e-02 -3.897992e-01  2.090996e-01
 1.179452e-01 -3.401468e-02 -1.519599e-01  2.090996e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.090996e-01
 3.009254e-01  4.328674e-01  1.319420e-01  2.090996e-01
 8.952919e-01  1.209896e+00  3.146041e-01  2.090996e-01
 1.505111e+00  2.070706e+00  5.655952e-01  1.975516e-01
 1.819299e+00  2.460459e+00  6.411602e-01  1.839047e-01
 1.716554e+00  2.129095e+00  4.125417e-01  1.885217e-01
 1.202796e+00  1.438210e+00  2.354144e-01  2.070034e-01
 5.302866e-01  7.263497e-01  1.960631e-01  2.090996e-01
 5.655291e-02  3.351084e-01  2.785555e-01  2.090996e-01
 6.401042e-02  3.401768e-01  2.761664e-01  2.090996e-01
 4.307191e-01  4.634765e-01  3.275745e-02  2.090996e-01
