#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 4.756421e-01  1.267604e+00  7.919622e-01  2.629439e-01
 1.280658e+00  5.312878e+00  4.032220e+00  2.580067e-01
 2.492000e+00  1.272557e+01  1.023357e+01  1.961981e-01
 4.208286e+00  1.964535e+01  1.543707e+01  1.434366e-01
 6.263982e+00  2.719497e+01  2.093098e+01  0.000000e+00
 7.506650e+00  2.523794e+01  1.773129e+01  0.000000e+00
 6.047077e+00  1.814793e+01  1.210086e+01  0.000000e+00
 3.757642e+00  1.110044e+01  7.342799e+00  1.535255e-01
 1.697628e+00  5.680379e+00  3.982751e+00  2.381269e-01
 3.803875e-01  1.814632e+00  1.434244e+00  2.629439e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.629439e-01
 4.241399e-02  2.273975e-01  1.849835e-01  2.629439e-01
 1.519828e-03 -9.444473e-02 -9.596456e-02  2.629439e-01
 3.788846e-01  1.761838e+00  1.382954e+00  2.629439e-01
 1.694757e+00  5.651646e+00  3.956889e+00  2.382872e-01
 3.755502e+00  1.112166e+01  7.366156e+00  1.535782e-01
 6.080861e+00  1.739020e+01  1.130934e+01  0.000000e+00
 7.284200e+00  2.435182e+01  1.706762e+01  0.000000e+00
 5.447084e+00  1.733858e+01  1.189150e+01  0.000000e+00
 3.190591e+00  1.103783e+01  7.847238e+00  1.694458e-01
 1.462382e+00  5.528508e+00  4.066126e+00  2.505109e-01
 4.209101e-01  1.406745e+00  9.858350e-01  2.629439e-01
 3.558167e-02 -9.830624e-01 -1.018644e+00  2.629439e-01
 4.852594e-02 -8.320783e-01 -8.806042e-01  2.629439e-01
