#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 4.756421e-01  4.282356e-01 -4.740657e-02  2.629439e-01
 1.280658e+00  1.826600e+00  5.459413e-01  2.580067e-01
 2.492000e+00  5.394980e+00  2.902980e+00  1.961981e-01
 4.208286e+00  8.085430e+00  3.877144e+00  1.434366e-01
 6.263982e+00  1.030266e+01  4.038680e+00  0.000000e+00
 7.506650e+00  9.425521e+00  1.918871e+00  0.000000e+00
 6.047077e+00  6.293911e+00  2.468334e-01  0.000000e+00
 3.757642e+00  3.137128e+00 -6.205132e-01  1.535255e-01
 1.697628e+00  1.257177e+00 -4.404504e-01  2.381269e-01
 3.803875e-01  1.444556e-01 -2.359319e-01  2.629439e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.629439e-01
 4.241399e-02  4.964904e-01  4.540764e-01  2.629439e-01
 1.519828e-03 -9.466708e-02 -9.618691e-02  2.629439e-01
 3.788846e-01  9.324982e-02 -2.856348e-01  2.629439e-01
 1.694757e+00  1.226930e+00 -4.678268e-01  2.382872e-01
 3.755502e+00  3.151067e+00 -6.044350e-01  1.535782e-01
 6.080861e+00  5.436055e+00 -6.448059e-01  0.000000e+00
 7.284200e+00  9.059399e+00  1.775198e+00  0.000000e+00
 5.447084e+00  6.117853e+00  6.707692e-01  0.000000e+00
 3.190591e+00  3.284637e+00  9.404650e-02  1.694458e-01
 1.462382e+00  9.614323e-01 -5.009497e-01  2.505109e-01
 4.209101e-01 -4.743702e-01 -8.952803e-01  2.629439e-01
 3.558167e-02 -1.079860e+00 -1.115442e+00  2.629439e-01
 4.852594e-02 -5.319263e-01 -5.804522e-01  2.629439e-01
