#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.597608e-01  1.050845e+00  8.910843e-01  2.447672e-01
 7.296678e-01  4.394403e+00  3.664736e+00  2.447672e-01
 1.774116e+00  9.526526e+00  7.752409e+00  2.176575e-01
 3.111933e+00  1.572784e+01  1.261590e+01  1.601216e-01
 4.331770e+00  2.191972e+01  1.758795e+01  1.312353e-01
 4.929649e+00  2.591699e+01  2.098734e+01  1.215524e-01
 4.408468e+00  2.130437e+01  1.689591e+01  1.298699e-01
 3.000067e+00  1.490453e+01  1.190447e+01  1.636835e-01
 1.582253e+00  8.815297e+00  7.233043e+00  2.275394e-01
 6.117232e-01  4.016199e+00  3.404476e+00  2.447672e-01
 1.314010e-01  1.020117e+00  8.887159e-01  2.447672e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.447672e-01
 1.314324e-01  1.020785e+00  8.893523e-01  2.447672e-01
 6.128727e-01  4.015479e+00  3.402607e+00  2.447672e-01
 1.582296e+00  8.815935e+00  7.233639e+00  2.275372e-01
 3.000331e+00  1.490802e+01  1.190769e+01  1.636748e-01
 4.408499e+00  2.130444e+01  1.689594e+01  1.298694e-01
 4.929933e+00  2.591583e+01  2.098589e+01  1.215483e-01
 4.331047e+00  2.191898e+01  1.758793e+01  1.312484e-01
 3.110789e+00  1.573727e+01  1.262648e+01  1.601570e-01
 1.774451e+00  9.526436e+00  7.751985e+00  2.176399e-01
 7.303037e-01  4.395731e+00  3.665427e+00  2.447672e-01
 1.594700e-01  1.059263e+00  8.997933e-01  2.447672e-01
 4.262672e-04 -9.700695e-02 -9.743322e-02  2.447672e-01
