#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.597608e-01  1.788650e-02 -1.418743e-01  2.447672e-01
 7.296678e-01  5.771640e-01 -1.525038e-01  2.447672e-01
 1.774116e+00  1.762391e+00 -1.172559e-02  2.176575e-01
 3.111933e+00  3.442326e+00  3.303923e-01  1.601216e-01
 4.331770e+00  5.054327e+00  7.225570e-01  1.312353e-01
 4.929649e+00  5.741980e+00  8.123307e-01  1.215524e-01
 4.408468e+00  4.968650e+00  5.601818e-01  1.298699e-01
 3.000067e+00  3.291581e+00  2.915134e-01  1.636835e-01
 1.582253e+00  1.617407e+00  3.515332e-02  2.275394e-01
 6.117232e-01  5.281168e-01 -8.360641e-02  2.447672e-01
 1.314010e-01  8.826545e-02 -4.313554e-02  2.447672e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.447672e-01
 1.314324e-01  8.888640e-02 -4.254603e-02  2.447672e-01
 6.128727e-01  5.277829e-01 -8.508980e-02  2.447672e-01
 1.582296e+00  1.618112e+00  3.581529e-02  2.275372e-01
 3.000331e+00  3.293050e+00  2.927185e-01  1.636748e-01
 4.408499e+00  4.968776e+00  5.602765e-01  1.298694e-01
 4.929933e+00  5.740859e+00  8.109268e-01  1.215483e-01
 4.331047e+00  5.053663e+00  7.226155e-01  1.312484e-01
 3.110789e+00  3.443763e+00  3.329746e-01  1.601570e-01
 1.774451e+00  1.763578e+00 -1.087343e-02  2.176399e-01
 7.303037e-01  5.800124e-01 -1.502914e-01  2.447672e-01
 1.594700e-01  2.736286e-02 -1.321071e-01  2.447672e-01
 4.262672e-04 -9.700694e-02 -9.743320e-02  2.447672e-01
