#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 3.516008e+00 -8.348161e-01 -4.350824e+00  1.435684e-01
 2.370182e+00 -1.612899e+00 -3.983081e+00  1.813799e-01
 2.141860e+00 -1.279956e+00 -3.421816e+00  1.917458e-01
 2.409346e+00 -1.251197e-02 -2.421857e+00  1.797039e-01
 2.634014e+00  1.631627e+00 -1.002387e+00  1.706761e-01
 2.512538e+00  2.532840e+00  2.030287e-02  1.754340e-01
 1.915550e+00  1.978015e+00  6.246455e-02  2.028799e-01
 9.263725e-01  9.845888e-01  5.821622e-02  2.362322e-01
 4.604665e-02  1.466915e-01  1.006448e-01  2.362322e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.362322e-01
 1.260100e+00  8.957901e-01 -3.643097e-01  2.323977e-01
 3.856804e+00  2.808805e+00 -1.047999e+00  1.357843e-01
 1.858009e+00  4.941543e-01 -1.363855e+00  2.057977e-01
 3.368819e-01 -3.179401e-01 -6.548220e-01  2.362322e-01
 9.459548e-02  1.284999e-01  3.390443e-02  2.362322e-01
 7.347796e-01  1.356412e+00  6.216321e-01  2.362322e-01
 1.584593e+00  2.758321e+00  1.173728e+00  2.194933e-01
 2.065584e+00  3.463337e+00  1.397753e+00  1.954186e-01
 2.086246e+00  2.499499e+00  4.132529e-01  1.944144e-01
 1.853790e+00  4.605508e-01 -1.393240e+00  2.060123e-01
 1.474809e+00 -1.244811e+00 -2.719619e+00  2.245256e-01
 1.416133e+00 -1.985525e+00 -3.401658e+00  2.269861e-01
 2.085704e+00 -1.704689e+00 -3.790394e+00  1.944407e-01
 3.548600e+00 -8.131577e-01 -4.361758e+00  1.427713e-01
