#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 3.453229e+00  2.610908e+00 -8.423207e-01  1.538237e-01
 1.540219e+00  5.917634e-01 -9.484554e-01  2.348442e-01
 4.479357e-01 -2.440344e-01 -6.919700e-01  2.503697e-01
 5.265307e-03  2.399088e-03 -2.866219e-03  2.503697e-01
 2.766295e-01  8.749405e-01  5.983110e-01  2.503697e-01
 1.170508e+00  1.815288e+00  6.447800e-01  2.485823e-01
 1.896058e+00  2.734625e+00  8.385667e-01  2.160666e-01
 2.290401e+00  3.833814e+00  1.543413e+00  1.959530e-01
 2.424806e+00  2.145719e+00 -2.790870e-01  1.897661e-01
 2.810511e+00  3.027374e+00  2.168633e-01  1.740896e-01
 3.978873e+00  4.979513e+00  1.000640e+00  1.412414e-01
 6.025001e+00  7.784774e+00  1.759773e+00  0.000000e+00
 3.978968e+00  4.922026e+00  9.430584e-01  1.412394e-01
 2.810944e+00  3.034871e+00  2.239266e-01  1.740737e-01
 2.425242e+00  2.201916e+00 -2.233262e-01  1.897466e-01
 2.293260e+00  3.831892e+00  1.538632e+00  1.958175e-01
 1.889803e+00  2.723273e+00  8.334700e-01  2.164026e-01
 1.169746e+00  1.799043e+00  6.292966e-01  2.485980e-01
 2.768491e-01  8.524570e-01  5.756078e-01  2.503697e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.503697e-01
 4.468359e-01 -2.252735e-01 -6.721094e-01  2.503697e-01
 1.540416e+00  5.922355e-01 -9.481807e-01  2.348345e-01
 3.465973e+00  2.609338e+00 -8.566346e-01  1.534821e-01
 6.315154e+00  5.700102e+00 -6.150521e-01  0.000000e+00
