#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 2.601250e-01  9.519730e-01  6.918480e-01  3.573097e-01
 1.095033e+00  3.929526e+00  2.834493e+00  3.565075e-01
 2.457002e+00  8.899257e+00  6.442255e+00  2.687862e-01
 3.991970e+00  1.530075e+01  1.130878e+01  2.011724e-01
 5.149231e+00  2.205252e+01  1.690329e+01  0.000000e+00
 5.491714e+00  2.700234e+01  2.151062e+01  0.000000e+00
 5.134147e+00  2.362370e+01  1.848955e+01  0.000000e+00
 4.617595e+00  1.811407e+01  1.349648e+01  1.844337e-01
 4.543749e+00  1.290923e+01  8.365486e+00  1.862064e-01
 5.171978e+00  8.985074e+00  3.813096e+00  0.000000e+00
 6.262571e+00  6.687858e+00  4.252867e-01  0.000000e+00
 6.927841e+00  5.980397e+00 -9.474444e-01  0.000000e+00
 6.262415e+00  6.691564e+00  4.291494e-01  0.000000e+00
 5.172170e+00  8.985439e+00  3.813269e+00  0.000000e+00
 4.545066e+00  1.291118e+01  8.366113e+00  1.861744e-01
 4.617703e+00  1.811237e+01  1.349467e+01  1.844311e-01
 5.134151e+00  2.362518e+01  1.849103e+01  0.000000e+00
 5.491633e+00  2.700337e+01  2.151174e+01  0.000000e+00
 5.149051e+00  2.205193e+01  1.690288e+01  0.000000e+00
 3.991980e+00  1.530119e+01  1.130921e+01  2.011721e-01
 2.457078e+00  8.899162e+00  6.442083e+00  2.687814e-01
 1.095056e+00  3.929424e+00  2.834368e+00  3.565071e-01
 2.600700e-01  9.517563e-01  6.916863e-01  3.573097e-01
 0.000000e+00  0.000000e+00  0.000000e+00  3.573097e-01
