#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 9.093419e-01  1.001436e+00  9.209435e-02  5.189144e-01
 3.618324e+00  3.967019e+00  3.486950e-01  3.099564e-01
 8.109746e+00  8.513584e+00  4.038379e-01  0.000000e+00
 1.435528e+01  1.395641e+01 -3.988733e-01  0.000000e+00
 2.231377e+01  1.987715e+01 -2.436615e+00  0.000000e+00
 3.192505e+01  2.536961e+01 -6.555438e+00  0.000000e+00
 3.194067e+01  2.545943e+01 -6.481238e+00  0.000000e+00
 2.232200e+01  1.997606e+01 -2.345941e+00  0.000000e+00
 1.435445e+01  1.404029e+01 -3.141578e-01  0.000000e+00
 8.108734e+00  8.495399e+00  3.866647e-01  0.000000e+00
 3.617153e+00  3.942469e+00  3.253163e-01  3.100169e-01
 9.087893e-01  9.563735e-01  4.758419e-02  5.189144e-01
 0.000000e+00  0.000000e+00  0.000000e+00  5.189144e-01
