#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 3.850568e-01  1.360077e+00  9.750199e-01  2.047411e-01
 4.553453e-01  6.379142e-01  1.825688e-01  2.047411e-01
 5.952398e-01  5.575910e-01 -3.764875e-02  2.047411e-01
 7.044214e-01  1.056903e+00  3.524820e-01  2.047411e-01
 8.051122e-01  1.693394e+00  8.882822e-01  2.047411e-01
 8.243209e-01  1.987689e+00  1.163368e+00  2.047411e-01
 6.199204e-01  1.589992e+00  9.700718e-01  2.047411e-01
 2.572406e-01  7.379356e-01  4.806950e-01  2.047411e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.047411e-01
 8.513609e-02 -1.664275e-01 -2.515636e-01  2.047411e-01
 6.451701e-01  5.499918e-01 -9.517828e-02  2.047411e-01
 1.605069e+00  2.021214e+00  4.161441e-01  1.893798e-01
 6.453878e-01  5.498590e-01 -9.552888e-02  2.047411e-01
 8.522583e-02 -1.698108e-01 -2.550367e-01  2.047411e-01
 2.284135e-04  1.059252e-02  1.036411e-02  2.047411e-01
 2.572814e-01  7.328748e-01  4.755934e-01  2.047411e-01
 6.197353e-01  1.591844e+00  9.721089e-01  2.047411e-01
 8.243172e-01  1.974957e+00  1.150640e+00  2.047411e-01
 8.053325e-01  1.690038e+00  8.847055e-01  2.047411e-01
 7.044233e-01  1.056081e+00  3.516576e-01  2.047411e-01
 5.954017e-01  5.530525e-01 -4.234915e-02  2.047411e-01
 4.553610e-01  6.511262e-01  1.957652e-01  2.047411e-01
 3.861825e-01  1.388858e+00  1.002676e+00  2.047411e-01
 5.780548e-01  2.461943e+00  1.883888e+00  2.047411e-01
