#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 3.850568e-01  1.339618e+00  9.545617e-01  2.047411e-01
 4.553453e-01  5.820536e-01  1.267083e-01  2.047411e-01
 5.952398e-01  4.330403e-01 -1.621995e-01  2.047411e-01
 7.044214e-01  8.457539e-01  1.413324e-01  2.047411e-01
 8.051122e-01  1.412910e+00  6.077980e-01  2.047411e-01
 8.243209e-01  1.689353e+00  8.650320e-01  2.047411e-01
 6.199204e-01  1.359678e+00  7.397572e-01  2.047411e-01
 2.572406e-01  6.262190e-01  3.689784e-01  2.047411e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.047411e-01
 8.513609e-02 -9.417952e-02 -1.793156e-01  2.047411e-01
 6.451701e-01  6.459964e-01  8.263039e-04  2.047411e-01
 1.605069e+00  2.068965e+00  4.638954e-01  1.893798e-01
 6.453878e-01  6.466189e-01  1.231009e-03  2.047411e-01
 8.522583e-02 -9.768728e-02 -1.829131e-01  2.047411e-01
 2.284135e-04  1.113681e-02  1.090840e-02  2.047411e-01
 2.572814e-01  6.212043e-01  3.639229e-01  2.047411e-01
 6.197353e-01  1.361473e+00  7.417373e-01  2.047411e-01
 8.243172e-01  1.676899e+00  8.525817e-01  2.047411e-01
 8.053325e-01  1.409649e+00  6.043164e-01  2.047411e-01
 7.044233e-01  8.449094e-01  1.404861e-01  2.047411e-01
 5.954017e-01  4.288524e-01 -1.665493e-01  2.047411e-01
 4.553610e-01  5.949120e-01  1.395509e-01  2.047411e-01
 3.861825e-01  1.358745e+00  9.725622e-01  2.047411e-01
 5.780548e-01  2.427608e+00  1.849554e+00  2.047411e-01
