#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 3.205918e+00 -9.363506e-01 -4.142268e+00  1.722122e-01
 2.991857e+00  2.762568e+00 -2.292883e-01  1.795215e-01
 2.970513e+00  7.476706e+00  4.506193e+00  1.802938e-01
 3.252508e+00  1.300205e+01  9.749545e+00  1.707205e-01
 3.614679e+00  1.885512e+01  1.524044e+01  1.601841e-01
 3.397993e+00  2.136762e+01  1.796963e+01  1.662719e-01
 2.357606e+00  1.648685e+01  1.412924e+01  2.063967e-01
 1.109234e+00  1.057851e+01  9.469273e+00  2.672162e-01
 2.035628e-01  4.782987e+00  4.579424e+00  2.680098e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.680098e-01
 6.275302e-01 -3.387867e+00 -4.015397e+00  2.680098e-01
 1.834531e+00 -4.548327e+00 -6.382858e+00  2.348367e-01
 2.507465e+00 -2.972617e+00 -5.480082e+00  1.992656e-01
 2.472144e+00  6.621895e-01 -1.809955e+00  2.009007e-01
 2.722968e+00  5.774730e+00  3.051762e+00  1.898851e-01
 3.347785e+00  1.180957e+01  8.461787e+00  1.677724e-01
 3.756594e+00  1.868670e+01  1.493010e+01  1.565096e-01
 3.842731e+00  2.291897e+01  1.907624e+01  1.543888e-01
 3.355990e+00  1.837806e+01  1.502207e+01  1.675247e-01
 2.526531e+00  1.233640e+01  9.809868e+00  1.983947e-01
 1.922352e+00  6.664855e+00  4.742503e+00  2.297813e-01
 1.869651e+00  2.180443e+00  3.107921e-01  2.328099e-01
 2.437599e+00 -9.953997e-01 -3.432999e+00  2.025271e-01
 3.134501e+00 -2.265011e+00 -5.399512e+00  1.745655e-01
