#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 3.205918e+00  3.010075e+00 -1.958428e-01  1.722122e-01
 2.991857e+00  2.792921e+00 -1.989353e-01  1.795215e-01
 2.970513e+00  2.871687e+00 -9.882564e-02  1.802938e-01
 3.252508e+00  2.787175e+00 -4.653326e-01  1.707205e-01
 3.614679e+00  2.764238e+00 -8.504411e-01  1.601841e-01
 3.397993e+00  2.169543e+00 -1.228450e+00  1.662719e-01
 2.357606e+00  1.319665e+00 -1.037942e+00  2.063967e-01
 1.109234e+00  5.713375e-01 -5.378965e-01  2.672162e-01
 2.035628e-01  8.908100e-02 -1.144818e-01  2.680098e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.680098e-01
 6.275302e-01  2.180963e-01 -4.094339e-01  2.680098e-01
 1.834531e+00  7.013004e-01 -1.133231e+00  2.348367e-01
 2.507465e+00  9.334033e-01 -1.574062e+00  1.992656e-01
 2.472144e+00  8.211087e-01 -1.651036e+00  2.009007e-01
 2.722968e+00  1.217168e+00 -1.505799e+00  1.898851e-01
 3.347785e+00  2.064473e+00 -1.283312e+00  1.677724e-01
 3.756594e+00  2.809999e+00 -9.465951e-01  1.565096e-01
 3.842731e+00  3.111074e+00 -7.316565e-01  1.543888e-01
 3.355990e+00  2.933488e+00 -4.225023e-01  1.675247e-01
 2.526531e+00  2.536379e+00  9.848413e-03  1.983947e-01
 1.922352e+00  2.272699e+00  3.503473e-01  2.297813e-01
 1.869651e+00  2.511478e+00  6.418271e-01  2.328099e-01
 2.437599e+00  2.840677e+00  4.030772e-01  2.025271e-01
 3.134501e+00  3.023698e+00 -1.108025e-01  1.745655e-01
