#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 2.104680e+00  2.697559e+00  5.928790e-01  1.906769e-01
 1.030541e+00 -8.428768e-01 -1.873417e+00  2.327022e-01
 3.595127e-01 -2.172436e+00 -2.531949e+00  2.327565e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.327565e-01
 3.193082e-02  3.801624e+00  3.769694e+00  2.327565e-01
 3.647832e-01  6.117756e+00  5.752973e+00  2.327565e-01
 1.073219e+00  1.745656e+00  6.724369e-01  2.324456e-01
 1.638985e+00 -1.716994e+00 -3.355979e+00  2.136623e-01
 2.472920e+00  3.394046e+00  9.211260e-01  1.744433e-01
 2.705906e+00  3.090754e+00  3.848475e-01  1.655215e-01
 3.160062e+00  5.261326e+00  2.101264e+00  1.508639e-01
 3.203215e+00  7.214270e+00  4.011055e+00  1.496359e-01
 2.171361e+00  2.393076e+00  2.217145e-01  1.875509e-01
 1.115215e+00 -7.356179e-01 -1.850833e+00  2.319904e-01
 4.179709e-01 -1.819883e+00 -2.237854e+00  2.327565e-01
 2.135352e-02  1.217602e-04 -2.123176e-02  2.327565e-01
 1.870794e-02  3.716260e+00  3.697552e+00  2.327565e-01
 3.492956e-01  6.091362e+00  5.742066e+00  2.327565e-01
 1.122410e+00  5.265200e+00  4.142790e+00  2.318926e-01
 2.750045e+00  4.750138e+00  2.000093e+00  1.639454e-01
 2.480579e+00  3.466498e+00  9.859194e-01  1.741334e-01
 2.649797e+00  3.046042e+00  3.962457e-01  1.675763e-01
 3.118661e+00  4.986388e+00  1.867727e+00  1.520666e-01
 3.219968e+00  7.631323e+00  4.411356e+00  1.491661e-01
