#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 2.104680e+00  3.320729e+00  1.216049e+00  1.906769e-01
 1.030541e+00  7.194306e-01 -3.111100e-01  2.327022e-01
 3.595127e-01 -6.331888e-01 -9.927015e-01  2.327565e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.327565e-01
 3.193082e-02  1.378223e+00  1.346292e+00  2.327565e-01
 3.647832e-01  2.215178e+00  1.850395e+00  2.327565e-01
 1.073219e+00  1.351273e+00  2.780537e-01  2.324456e-01
 1.638985e+00 -2.994135e-01 -1.938399e+00  2.136623e-01
 2.472920e+00  1.118023e+00 -1.354897e+00  1.744433e-01
 2.705906e+00  1.739671e+00 -9.662351e-01  1.655215e-01
 3.160062e+00  3.733457e+00  5.733950e-01  1.508639e-01
 3.203215e+00  6.940580e+00  3.737365e+00  1.496359e-01
 2.171361e+00  3.410811e+00  1.239450e+00  1.875509e-01
 1.115215e+00  8.574991e-01 -2.577164e-01  2.319904e-01
 4.179709e-01 -5.350172e-01 -9.529881e-01  2.327565e-01
 2.135352e-02 -8.663918e-02 -1.079927e-01  2.327565e-01
 1.870794e-02  1.333733e+00  1.315026e+00  2.327565e-01
 3.492956e-01  2.209830e+00  1.860535e+00  2.327565e-01
 1.122410e+00  2.523188e+00  1.400778e+00  2.318926e-01
 2.750045e+00  3.211107e+00  4.610620e-01  1.639454e-01
 2.480579e+00  1.071506e+00 -1.409073e+00  1.741334e-01
 2.649797e+00  1.606730e+00 -1.043067e+00  1.675763e-01
 3.118661e+00  3.491100e+00  3.724392e-01  1.520666e-01
 3.219968e+00  6.792851e+00  3.572883e+00  1.491661e-01
