#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.662511e-01 -4.036211e-01 -5.698722e-01  2.563059e-01
 7.386038e-01 -6.958524e-02 -8.081890e-01  2.563059e-01
 1.831347e+00  1.653746e+00 -1.776005e-01  2.247573e-01
 3.416715e+00  4.552208e+00  1.135493e+00  1.584844e-01
 5.010318e+00  7.939516e+00  2.929198e+00  0.000000e+00
 5.678715e+00  1.022485e+01  4.546138e+00  0.000000e+00
 4.957826e+00  7.799270e+00  2.841444e+00  1.268561e-01
 3.311760e+00  4.177881e+00  8.661210e-01  1.614967e-01
 1.704149e+00  1.242538e+00 -4.616113e-01  2.317599e-01
 6.595363e-01 -2.951019e-01 -9.546382e-01  2.563059e-01
 1.447614e-01 -4.433099e-01 -5.880713e-01  2.563059e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.563059e-01
 1.444546e-01 -4.556940e-01 -6.001485e-01  2.563059e-01
 6.589853e-01 -3.078107e-01 -9.667961e-01  2.563059e-01
 1.703789e+00  1.246268e+00 -4.575216e-01  2.317795e-01
 3.311618e+00  4.173269e+00  8.616509e-01  1.615009e-01
 4.958008e+00  7.793120e+00  2.835112e+00  1.268533e-01
 5.678875e+00  1.022859e+01  4.549711e+00  0.000000e+00
 5.011120e+00  7.948060e+00  2.936940e+00  0.000000e+00
 3.416106e+00  4.549388e+00  1.133282e+00  1.585014e-01
 1.830580e+00  1.658788e+00 -1.717918e-01  2.247997e-01
 7.395049e-01 -5.121157e-02 -7.907164e-01  2.563059e-01
 1.662750e-01 -4.395684e-01 -6.058434e-01  2.563059e-01
 7.580316e-04 -1.903375e-02 -1.979178e-02  2.563059e-01
