#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 7.190519e-01  1.123092e+00  4.040398e-01  5.152147e-01
 3.408026e+00  4.444250e+00  1.036223e+00  3.190682e-01
 7.943117e+00  9.600962e+00  1.657845e+00  0.000000e+00
 1.410425e+01  1.584758e+01  1.743322e+00  0.000000e+00
 2.151779e+01  2.261001e+01  1.092216e+00  0.000000e+00
 2.434688e+01  3.033023e+01  5.983346e+00  0.000000e+00
 1.630485e+01  2.481535e+01  8.510507e+00  0.000000e+00
 1.037490e+01  1.955421e+01  9.179310e+00  0.000000e+00
 6.785317e+00  1.510984e+01  8.324523e+00  0.000000e+00
 5.234568e+00  1.214573e+01  6.911166e+00  0.000000e+00
 5.290852e+00  1.088148e+01  5.590624e+00  0.000000e+00
 5.420211e+00  1.214882e+01  6.728609e+00  0.000000e+00
 5.291417e+00  1.086166e+01  5.570239e+00  0.000000e+00
 5.234531e+00  1.214169e+01  6.907156e+00  0.000000e+00
 6.785020e+00  1.511709e+01  8.332071e+00  0.000000e+00
 1.037468e+01  1.950418e+01  9.129505e+00  0.000000e+00
 1.630535e+01  2.480691e+01  8.501566e+00  0.000000e+00
 2.434693e+01  3.032902e+01  5.982094e+00  0.000000e+00
 2.151783e+01  2.260819e+01  1.090354e+00  0.000000e+00
 1.410654e+01  1.588418e+01  1.777637e+00  0.000000e+00
 7.943371e+00  9.577304e+00  1.633933e+00  0.000000e+00
 3.406575e+00  4.471375e+00  1.064800e+00  3.191503e-01
 7.188721e-01  1.122800e+00  4.039281e-01  5.152147e-01
 0.000000e+00  0.000000e+00  0.000000e+00  5.152147e-01
