#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 7.190519e-01  9.705728e-01  2.515209e-01  5.152147e-01
 3.408026e+00  3.865840e+00  4.578135e-01  3.190682e-01
 7.943117e+00  8.388001e+00  4.448836e-01  0.000000e+00
 1.410425e+01  1.388062e+01 -2.236311e-01  0.000000e+00
 2.151779e+01  1.984986e+01 -1.667927e+00  0.000000e+00
 2.434688e+01  2.674532e+01  2.398439e+00  0.000000e+00
 1.630485e+01  2.203292e+01  5.728074e+00  0.000000e+00
 1.037490e+01  1.754000e+01  7.165106e+00  0.000000e+00
 6.785317e+00  1.380677e+01  7.021450e+00  0.000000e+00
 5.234568e+00  1.143705e+01  6.202483e+00  0.000000e+00
 5.290852e+00  1.058533e+01  5.294477e+00  0.000000e+00
 5.420211e+00  1.214662e+01  6.726412e+00  0.000000e+00
 5.291417e+00  1.056861e+01  5.277192e+00  0.000000e+00
 5.234531e+00  1.143265e+01  6.198121e+00  0.000000e+00
 6.785020e+00  1.381434e+01  7.029321e+00  0.000000e+00
 1.037468e+01  1.748881e+01  7.114137e+00  0.000000e+00
 1.630535e+01  2.202444e+01  5.719097e+00  0.000000e+00
 2.434693e+01  2.674433e+01  2.397400e+00  0.000000e+00
 2.151783e+01  1.984806e+01 -1.669770e+00  0.000000e+00
 1.410654e+01  1.391689e+01 -1.896563e-01  0.000000e+00
 7.943371e+00  8.364603e+00  4.212320e-01  0.000000e+00
 3.406575e+00  3.892823e+00  4.862482e-01  3.191503e-01
 7.188721e-01  9.703382e-01  2.514662e-01  5.152147e-01
 0.000000e+00  0.000000e+00  0.000000e+00  5.152147e-01
