#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.325043e+00 -1.272237e+00 -2.597280e+00  4.954530e-01
 3.593098e+00 -6.960392e-01 -4.289137e+00  3.047505e-01
 8.017574e+00  2.144653e+00 -5.872921e+00  0.000000e+00
 1.447447e+01  6.622878e+00 -7.851591e+00  0.000000e+00
 2.268972e+01  1.208800e+01 -1.060171e+01  0.000000e+00
 3.219996e+01  1.785600e+01 -1.434396e+01  0.000000e+00
 4.069669e+01  2.177856e+01 -1.891813e+01  0.000000e+00
 3.109161e+01  1.722270e+01 -1.386892e+01  0.000000e+00
 2.166162e+01  1.161144e+01 -1.005017e+01  0.000000e+00
 1.345076e+01  6.293181e+00 -7.157576e+00  0.000000e+00
 6.963759e+00  1.975716e+00 -4.988043e+00  0.000000e+00
 2.466430e+00 -8.785209e-01 -3.344951e+00  3.813425e-01
 1.290329e-01 -1.707535e+00 -1.836568e+00  5.080509e-01
 0.000000e+00  0.000000e+00  0.000000e+00  5.080509e-01
