#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.325043e+00 -6.320041e-02 -1.388244e+00  4.954530e-01
 3.593098e+00  4.942566e-01 -3.098841e+00  3.047505e-01
 8.017574e+00  2.331962e+00 -5.685611e+00  0.000000e+00
 1.447447e+01  5.075038e+00 -9.399432e+00  0.000000e+00
 2.268972e+01  8.395786e+00 -1.429393e+01  0.000000e+00
 3.219996e+01  1.191193e+01 -2.028803e+01  0.000000e+00
 4.069669e+01  1.389126e+01 -2.680544e+01  0.000000e+00
 3.109161e+01  1.108648e+01 -2.000513e+01  0.000000e+00
 2.166162e+01  7.631613e+00 -1.403000e+01  0.000000e+00
 1.345076e+01  4.393072e+00 -9.057686e+00  0.000000e+00
 6.963759e+00  1.844520e+00 -5.119239e+00  0.000000e+00
 2.466430e+00  1.080273e-01 -2.358402e+00  3.813425e-01
 1.290329e-01 -5.785412e-01 -7.075741e-01  5.080509e-01
 0.000000e+00  0.000000e+00  0.000000e+00  5.080509e-01
