#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 3.795303e+01  1.642129e+01 -2.153175e+01  0.000000e+00
 2.748253e+01  1.177406e+01 -1.570847e+01  0.000000e+00
 1.839613e+01  7.699969e+00 -1.069616e+01  0.000000e+00
 1.150135e+01  5.125588e+00 -6.375764e+00  0.000000e+00
 6.327284e+00 -1.654707e-01 -6.492755e+00  0.000000e+00
 2.708102e+00 -1.822440e+00 -4.530542e+00  3.469651e-01
 9.160208e-01 -1.677169e+00 -2.593190e+00  4.881363e-01
 0.000000e+00  0.000000e+00  0.000000e+00  4.881363e-01
 2.109982e-01 -1.947033e+00 -2.158031e+00  4.881363e-01
 2.044463e+00 -2.137265e+00 -4.181728e+00  4.059361e-01
 5.697829e+00 -3.901944e-01 -6.088023e+00  0.000000e+00
 1.131613e+01  3.463138e+00 -7.852989e+00  0.000000e+00
 1.854832e+01  7.936605e+00 -1.061172e+01  0.000000e+00
 2.765260e+01  1.177902e+01 -1.587358e+01  0.000000e+00
 3.814136e+01  1.661704e+01 -2.152432e+01  0.000000e+00
