#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 3.606041e+01  2.845927e+01 -7.601135e+00  0.000000e+00
 2.527960e+01  2.045001e+01 -4.829594e+00  0.000000e+00
 1.610455e+01  1.384470e+01 -2.259853e+00  0.000000e+00
 9.175113e+00  8.297594e+00 -8.775198e-01  0.000000e+00
 4.481400e+00  3.707260e+00 -7.741399e-01  2.760367e-01
 1.224731e+00  1.010507e+00 -2.142243e-01  5.189220e-01
 0.000000e+00  0.000000e+00  0.000000e+00  5.253534e-01
 7.666095e-01  7.306266e-01 -3.598288e-02  5.253534e-01
 3.499184e+00  3.238143e+00 -2.610415e-01  3.202050e-01
 8.165462e+00  7.420942e+00 -7.445201e-01  0.000000e+00
 1.464342e+01  1.319078e+01 -1.452638e+00  0.000000e+00
 2.295120e+01  1.992760e+01 -3.023594e+00  0.000000e+00
 3.314666e+01  2.634439e+01 -6.802277e+00  0.000000e+00
