#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 3.606041e+01  2.913635e+01 -6.924057e+00  0.000000e+00
 2.527960e+01  2.095512e+01 -4.324482e+00  0.000000e+00
 1.610455e+01  1.420031e+01 -1.904239e+00  0.000000e+00
 9.175113e+00  8.513389e+00 -6.617240e-01  0.000000e+00
 4.481400e+00  3.817729e+00 -6.636713e-01  2.760367e-01
 1.224731e+00  1.040318e+00 -1.844128e-01  5.189220e-01
 0.000000e+00  0.000000e+00  0.000000e+00  5.253534e-01
 7.666095e-01  7.563259e-01 -1.028356e-02  5.253534e-01
 3.499184e+00  3.339930e+00 -1.592538e-01  3.202050e-01
 8.165462e+00  7.636819e+00 -5.286427e-01  0.000000e+00
 1.464342e+01  1.354245e+01 -1.100974e+00  0.000000e+00
 2.295120e+01  2.042660e+01 -2.524599e+00  0.000000e+00
 3.314666e+01  2.699719e+01 -6.149474e+00  0.000000e+00
