#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 4.147024e+01  3.412022e+01 -7.350029e+00  0.000000e+00
 3.090299e+01  3.014752e+01 -7.554673e-01  0.000000e+00
 2.171068e+01  2.372845e+01  2.017768e+00  0.000000e+00
 1.387061e+01  1.641114e+01  2.540533e+00  0.000000e+00
 7.830813e+00  1.003115e+01  2.200339e+00  0.000000e+00
 3.547421e+00  4.843478e+00  1.296057e+00  3.077267e-01
 9.654302e-01  1.403721e+00  4.382903e-01  5.090686e-01
 0.000000e+00  0.000000e+00  0.000000e+00  5.090686e-01
 5.922591e-01  6.440797e-01  5.182061e-02  5.090686e-01
 2.763118e+00  3.276679e+00  5.135613e-01  3.575635e-01
 6.548326e+00  8.060521e+00  1.512195e+00  0.000000e+00
 1.194053e+01  1.387950e+01  1.938963e+00  0.000000e+00
 1.895379e+01  2.035591e+01  1.402118e+00  0.000000e+00
 2.747014e+01  2.580136e+01 -1.668777e+00  0.000000e+00
 3.753281e+01  2.843687e+01 -9.095933e+00  0.000000e+00
