#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 4.147024e+01  3.122182e+01 -1.024842e+01  0.000000e+00
 3.090299e+01  2.779724e+01 -3.105747e+00  0.000000e+00
 2.171068e+01  2.204703e+01  3.363541e-01  0.000000e+00
 1.387061e+01  1.528258e+01  1.411972e+00  0.000000e+00
 7.830813e+00  9.370319e+00  1.539506e+00  0.000000e+00
 3.547421e+00  4.550525e+00  1.003104e+00  3.077267e-01
 9.654302e-01  1.341771e+00  3.763404e-01  5.090686e-01
 0.000000e+00  0.000000e+00  0.000000e+00  5.090686e-01
 5.922591e-01  5.236910e-01 -6.856812e-02  5.090686e-01
 2.763118e+00  2.865596e+00  1.024778e-01  3.575635e-01
 6.548326e+00  7.218911e+00  6.705853e-01  0.000000e+00
 1.194053e+01  1.252897e+01  5.884344e-01  0.000000e+00
 1.895379e+01  1.846266e+01 -4.911301e-01  0.000000e+00
 2.747014e+01  2.331191e+01 -4.158225e+00  0.000000e+00
 3.753281e+01  2.551939e+01 -1.201342e+01  0.000000e+00
