#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 0.000000e+00  0.000000e+00  0.000000e+00  2.397339e-01
 1.602345e-01  2.942935e+00  2.782701e+00  2.397339e-01
 1.017569e+00  7.900788e+00  6.883219e+00  2.397154e-01
 2.486626e+00  1.427573e+01  1.178910e+01  1.791023e-01
 4.116024e+00  2.093599e+01  1.681997e+01  1.325214e-01
 5.005068e+00  2.520761e+01  2.020255e+01  0.000000e+00
 4.252669e+00  2.106891e+01  1.681624e+01  1.299582e-01
 2.548903e+00  1.426426e+01  1.171536e+01  1.765584e-01
 9.980977e-01  7.713251e+00  6.715153e+00  2.397339e-01
 1.372150e-01  2.695612e+00  2.558397e+00  2.397339e-01
 2.557101e-03 -4.119387e-02 -4.375097e-02  2.397339e-01
 1.977878e-01 -7.332489e-01 -9.310367e-01  2.397339e-01
 2.685113e-03 -4.544313e-02 -4.812824e-02  2.397339e-01
 1.373543e-01  2.720731e+00  2.583376e+00  2.397339e-01
 9.977376e-01  7.698271e+00  6.700534e+00  2.397339e-01
 2.548584e+00  1.425886e+01  1.171028e+01  1.765712e-01
 4.252763e+00  2.108603e+01  1.683326e+01  1.299565e-01
 5.008443e+00  2.521126e+01  2.020282e+01  0.000000e+00
 4.115975e+00  2.093838e+01  1.682240e+01  1.325223e-01
 2.486786e+00  1.427615e+01  1.178936e+01  1.790957e-01
 1.017594e+00  7.901286e+00  6.883691e+00  2.397153e-01
 1.604994e-01  2.935315e+00  2.774816e+00  2.397339e-01
 9.034254e-03  4.268017e-03 -4.766237e-03  2.397339e-01
 2.007020e-01 -8.011507e-01 -1.001853e+00  2.397339e-01
