#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 0.000000e+00  0.000000e+00  0.000000e+00  2.397339e-01
 1.602345e-01  1.059958e-01 -5.423877e-02  2.397339e-01
 1.017569e+00  1.169978e+00  1.524094e-01  2.397154e-01
 2.486626e+00  2.991394e+00  5.047688e-01  1.791023e-01
 4.116024e+00  4.836562e+00  7.205376e-01  1.325214e-01
 5.005068e+00  5.691589e+00  6.865208e-01  0.000000e+00
 4.252669e+00  4.856849e+00  6.041793e-01  1.299582e-01
 2.548903e+00  2.988129e+00  4.392264e-01  1.765584e-01
 9.980977e-01  1.133810e+00  1.357119e-01  2.397339e-01
 1.372150e-01  6.382976e-02 -7.338522e-02  2.397339e-01
 2.557101e-03  6.718808e-02  6.463098e-02  2.397339e-01
 1.977878e-01  5.072535e-01  3.094657e-01  2.397339e-01
 2.685113e-03  5.436957e-02  5.168446e-02  2.397339e-01
 1.373543e-01  8.066802e-02 -5.668628e-02  2.397339e-01
 9.977376e-01  1.127768e+00  1.300300e-01  2.397339e-01
 2.548584e+00  2.986025e+00  4.374409e-01  1.765712e-01
 4.252763e+00  4.866041e+00  6.132785e-01  1.299565e-01
 5.008443e+00  5.695488e+00  6.870451e-01  0.000000e+00
 4.115975e+00  4.837472e+00  7.214968e-01  1.325223e-01
 2.486786e+00  2.989185e+00  5.023990e-01  1.790957e-01
 1.017594e+00  1.169083e+00  1.514884e-01  2.397153e-01
 1.604994e-01  1.014323e-01 -5.906707e-02  2.397339e-01
 9.034254e-03  1.195867e-02  2.924413e-03  2.397339e-01
 2.007020e-01  4.383412e-01  2.376392e-01  2.397339e-01
