#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.164989e-01  4.171210e-02 -7.478679e-02  2.494549e-01
 6.487344e-01  5.503025e-01 -9.843187e-02  2.494549e-01
 1.693588e+00  1.842959e+00  1.493711e-01  2.261250e-01
 3.255563e+00  3.668908e+00  4.133449e-01  1.588112e-01
 4.549082e+00  5.366577e+00  8.174952e-01  1.299091e-01
 5.081745e+00  6.048515e+00  9.667702e-01  0.000000e+00
 4.480145e+00  5.325460e+00  8.453143e-01  1.310931e-01
 3.132618e+00  3.640698e+00  5.080800e-01  1.625387e-01
 1.656968e+00  1.826647e+00  1.696798e-01  2.280532e-01
 6.576113e-01  5.305241e-01 -1.270872e-01  2.494549e-01
 1.196866e-01 -4.761350e-02 -1.673001e-01  2.494549e-01
 1.487194e-05 -1.349119e-01 -1.349268e-01  2.494549e-01
 1.188232e-01 -4.476051e-02 -1.635838e-01  2.494549e-01
 6.578213e-01  5.327663e-01 -1.250550e-01  2.494549e-01
 1.655929e+00  1.831609e+00  1.756801e-01  2.281075e-01
 3.132182e+00  3.639721e+00  5.075390e-01  1.625523e-01
 4.479672e+00  5.325804e+00  8.461319e-01  1.311013e-01
 5.081630e+00  6.048401e+00  9.667701e-01  0.000000e+00
 4.548574e+00  5.365870e+00  8.172962e-01  1.299177e-01
 3.255900e+00  3.663823e+00  4.079231e-01  1.588013e-01
 1.693284e+00  1.843160e+00  1.498757e-01  2.261411e-01
 6.485818e-01  5.601217e-01 -8.846009e-02  2.494549e-01
 1.164082e-01  4.294160e-02 -7.346662e-02  2.494549e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.494549e-01
