#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 2.263646e-01 -3.874279e-01 -6.137925e-01  2.621183e-01
 9.342361e-01 -1.351795e-01 -1.069416e+00  2.621183e-01
 2.113165e+00  1.147438e+00 -9.657261e-01  2.142779e-01
 3.566698e+00  3.291791e+00 -2.749071e-01  1.579307e-01
 4.798703e+00  5.915689e+00  1.116986e+00  1.322528e-01
 5.281854e+00  7.844999e+00  2.563145e+00  0.000000e+00
 4.831187e+00  7.089519e+00  2.258333e+00  1.317270e-01
 3.698285e+00  4.884047e+00  1.185763e+00  1.545184e-01
 2.482628e+00  2.951177e+00  4.685494e-01  1.960070e-01
 1.625800e+00  1.824480e+00  1.986806e-01  2.413331e-01
 1.173035e+00  1.344884e+00  1.718482e-01  2.601922e-01
 1.038535e+00  1.239278e+00  2.007425e-01  2.620211e-01
 1.173994e+00  1.342007e+00  1.680133e-01  2.601712e-01
 1.625977e+00  1.813624e+00  1.876474e-01  2.413235e-01
 2.483676e+00  2.963863e+00  4.801877e-01  1.959594e-01
 3.698274e+00  4.878901e+00  1.180627e+00  1.545186e-01
 4.832322e+00  7.087662e+00  2.255340e+00  1.317087e-01
 5.282051e+00  7.846933e+00  2.564882e+00  0.000000e+00
 4.798841e+00  5.919569e+00  1.120728e+00  1.322506e-01
 3.566766e+00  3.295601e+00 -2.711652e-01  1.579288e-01
 2.113933e+00  1.130331e+00 -9.836011e-01  2.142370e-01
 9.342104e-01 -1.343528e-01 -1.068563e+00  2.621183e-01
 2.267003e-01 -4.529849e-01 -6.796853e-01  2.621183e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.621183e-01
