#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 8.130420e-01  2.752579e+00  1.939537e+00  2.880182e-01
 1.663790e+00  4.126390e+00  2.462600e+00  2.628953e-01
 2.896116e+00  4.583710e+00  1.687593e+00  1.967173e-01
 4.703628e+00  5.027946e+00  3.243178e-01  1.470504e-01
 6.878125e+00  5.382855e+00 -1.495270e+00  0.000000e+00
 8.284891e+00  5.812231e+00 -2.472660e+00  0.000000e+00
 7.323732e+00  5.509500e+00 -1.814232e+00  0.000000e+00
 5.308949e+00  3.983609e+00 -1.325340e+00  0.000000e+00
 3.212407e+00  2.376846e+00 -8.355602e-01  1.848433e-01
 1.494132e+00  1.083837e+00 -4.102947e-01  2.727096e-01
 3.848475e-01  2.372945e-01 -1.475530e-01  2.880182e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.880182e-01
 3.867149e-01  2.397024e-01 -1.470126e-01  2.880182e-01
 1.493856e+00  1.084163e+00 -4.096929e-01  2.727245e-01
 3.207841e+00  2.388106e+00 -8.197356e-01  1.850019e-01
 5.308946e+00  3.984444e+00 -1.324503e+00  0.000000e+00
 7.306018e+00  4.598985e+00 -2.707033e+00  0.000000e+00
 7.982896e+00  4.791624e+00 -3.191272e+00  0.000000e+00
 6.334319e+00  4.233337e+00 -2.100982e+00  0.000000e+00
 4.222808e+00  3.863118e+00 -3.596905e-01  1.567915e-01
 2.395045e+00  3.346247e+00  9.512020e-01  2.198398e-01
 1.064485e+00  2.934130e+00  1.869645e+00  2.877196e-01
 4.526589e-01  2.586580e+00  2.133921e+00  2.880182e-01
 2.897862e-01  2.538959e+00  2.249172e+00  2.880182e-01
