#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.145197e+00  3.097242e+00  1.952045e+00  2.244082e-01
 6.280316e-01  1.877914e+00  1.249882e+00  2.255817e-01
 7.985698e-01  1.662919e+00  8.643495e-01  2.255817e-01
 1.599804e+00  2.322696e+00  7.228918e-01  2.088998e-01
 2.708077e+00  3.452670e+00  7.445929e-01  1.603433e-01
 3.700913e+00  4.723919e+00  1.023006e+00  1.329232e-01
 2.897676e+00  4.084601e+00  1.186924e+00  1.540234e-01
 1.578407e+00  2.224297e+00  6.458907e-01  2.098794e-01
 5.247812e-01  7.632228e-01  2.384416e-01  2.255817e-01
 3.219126e-04 -9.082672e-04 -1.230180e-03  2.255817e-01
 2.239362e-01  2.007269e-01 -2.320927e-02  2.255817e-01
 1.300982e+00  1.454800e+00  1.538184e-01  2.207438e-01
 2.249690e-01  2.029487e-01 -2.202030e-02  2.255817e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.255817e-01
 5.270283e-01  7.777842e-01  2.507559e-01  2.255817e-01
 1.578713e+00  2.225150e+00  6.464368e-01  2.098655e-01
 2.899407e+00  4.089569e+00  1.190162e+00  1.539685e-01
 3.700915e+00  4.723654e+00  1.022740e+00  1.329232e-01
 2.707791e+00  3.445000e+00  7.372085e-01  1.603533e-01
 1.600268e+00  2.321409e+00  7.211407e-01  2.088784e-01
 7.984820e-01  1.663034e+00  8.645525e-01  2.255817e-01
 6.280196e-01  1.879353e+00  1.251334e+00  2.255817e-01
 1.147651e+00  3.159985e+00  2.012334e+00  2.243688e-01
 2.226990e+00  5.284541e+00  3.057551e+00  1.793000e-01
