#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.145197e+00  3.069705e+00  1.924508e+00  2.244082e-01
 6.280316e-01  1.870588e+00  1.242557e+00  2.255817e-01
 7.985698e-01  1.685244e+00  8.866744e-01  2.255817e-01
 1.599804e+00  2.378793e+00  7.789887e-01  2.088998e-01
 2.708077e+00  3.537730e+00  8.296527e-01  1.603433e-01
 3.700913e+00  4.825307e+00  1.124394e+00  1.329232e-01
 2.897676e+00  4.170835e+00  1.273159e+00  1.540234e-01
 1.578407e+00  2.283861e+00  7.054548e-01  2.098794e-01
 5.247812e-01  7.920157e-01  2.672345e-01  2.255817e-01
 3.219126e-04 -9.040564e-04 -1.225969e-03  2.255817e-01
 2.239362e-01  1.790650e-01 -4.487112e-02  2.255817e-01
 1.300982e+00  1.422315e+00  1.213337e-01  2.207438e-01
 2.249690e-01  1.813002e-01 -4.366885e-02  2.255817e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.255817e-01
 5.270283e-01  8.066383e-01  2.796101e-01  2.255817e-01
 1.578713e+00  2.284714e+00  7.060002e-01  2.098655e-01
 2.899407e+00  4.175748e+00  1.276341e+00  1.539685e-01
 3.700915e+00  4.825041e+00  1.124127e+00  1.329232e-01
 2.707791e+00  3.530067e+00  8.222758e-01  1.603533e-01
 1.600268e+00  2.377509e+00  7.772410e-01  2.088784e-01
 7.984820e-01  1.685361e+00  8.868788e-01  2.255817e-01
 6.280196e-01  1.872033e+00  1.244013e+00  2.255817e-01
 1.147651e+00  3.132399e+00  1.984748e+00  2.243688e-01
 2.226990e+00  5.250485e+00  3.023495e+00  1.793000e-01
