#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.976159e+00  3.276021e+00  1.299862e+00  2.792716e-01
 2.219883e+00  3.015203e+00  7.953204e-01  2.628624e-01
 3.501896e+00  3.641819e+00  1.399232e-01  2.011267e-01
 5.763817e+00  4.995924e+00 -7.678926e-01  0.000000e+00
 8.576259e+00  6.630391e+00 -1.945868e+00  0.000000e+00
 1.050777e+01  7.757046e+00 -2.750728e+00  0.000000e+00
 9.283147e+00  6.808419e+00 -2.474728e+00  0.000000e+00
 6.671974e+00  4.715154e+00 -1.956820e+00  0.000000e+00
 3.926641e+00  2.502569e+00 -1.424072e+00  1.877251e-01
 1.701703e+00  8.092267e-01 -8.924761e-01  2.986935e-01
 3.658136e-01 -2.610478e-02 -3.919184e-01  3.301385e-01
 0.000000e+00  0.000000e+00  0.000000e+00  3.301385e-01
 2.230821e-01  5.605417e-03 -2.174766e-01  3.301385e-01
 1.457192e+00  8.546688e-01 -6.025231e-01  3.148382e-01
 3.668228e+00  2.485049e+00 -1.183179e+00  1.955756e-01
 6.532075e+00  4.607419e+00 -1.924657e+00  0.000000e+00
 9.379340e+00  6.658343e+00 -2.720997e+00  0.000000e+00
 1.069286e+01  7.559021e+00 -3.133839e+00  0.000000e+00
 8.692829e+00  6.455916e+00 -2.236913e+00  0.000000e+00
 5.945703e+00  4.802150e+00 -1.143553e+00  0.000000e+00
 3.740832e+00  3.489814e+00 -2.510180e-01  1.932797e-01
 2.468271e+00  2.912146e+00  4.438750e-01  2.476955e-01
 2.202076e+00  3.205287e+00  1.003211e+00  2.640141e-01
 2.700879e+00  4.415434e+00  1.714554e+00  2.350311e-01
