#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.976159e+00  3.271401e+00  1.295242e+00  2.792716e-01
 2.219883e+00  3.010734e+00  7.908507e-01  2.628624e-01
 3.501896e+00  3.636569e+00  1.346732e-01  2.011267e-01
 5.763817e+00  4.989191e+00 -7.746255e-01  0.000000e+00
 8.576259e+00  6.621793e+00 -1.954466e+00  0.000000e+00
 1.050777e+01  7.746923e+00 -2.760851e+00  0.000000e+00
 9.283147e+00  6.799316e+00 -2.483831e+00  0.000000e+00
 6.671974e+00  4.708324e+00 -1.963649e+00  0.000000e+00
 3.926641e+00  2.498193e+00 -1.428448e+00  1.877251e-01
 1.701703e+00  8.069633e-01 -8.947395e-01  2.986935e-01
 3.658136e-01 -2.689496e-02 -3.927086e-01  3.301385e-01
 0.000000e+00  0.000000e+00  0.000000e+00  3.301385e-01
 2.230821e-01  4.839414e-03 -2.182427e-01  3.301385e-01
 1.457192e+00  8.524152e-01 -6.047767e-01  3.148382e-01
 3.668228e+00  2.480711e+00 -1.187517e+00  1.955756e-01
 6.532075e+00  4.600669e+00 -1.931407e+00  0.000000e+00
 9.379340e+00  6.649346e+00 -2.729994e+00  0.000000e+00
 1.069286e+01  7.548869e+00 -3.143990e+00  0.000000e+00
 8.692829e+00  6.447172e+00 -2.245657e+00  0.000000e+00
 5.945703e+00  4.795251e+00 -1.150452e+00  0.000000e+00
 3.740832e+00  3.484390e+00 -2.564419e-01  1.932797e-01
 2.468271e+00  2.907497e+00  4.392255e-01  2.476955e-01
 2.202076e+00  3.200495e+00  9.984193e-01  2.640141e-01
 2.700879e+00  4.409478e+00  1.708599e+00  2.350311e-01
