#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 2.608135e+00  3.963127e+00  1.354992e+00  2.063361e-01
 5.917527e-01  8.494155e-01  2.576628e-01  2.839427e-01
 5.755893e-02  9.335522e-02  3.579629e-02  2.839427e-01
 7.084833e-01  1.060393e+00  3.519093e-01  2.839427e-01
 2.261909e+00  2.976211e+00  7.143020e-01  2.237714e-01
 4.131307e+00  5.115418e+00  9.841109e-01  1.566115e-01
 3.372061e+00  5.727135e+00  2.355074e+00  1.769729e-01
 1.932605e+00  3.937179e+00  2.004574e+00  2.428202e-01
 1.439078e+00  3.201781e+00  1.762703e+00  2.717001e-01
 2.326288e+00  4.356066e+00  2.029778e+00  2.203136e-01
 4.492848e+00  7.641016e+00  3.148168e+00  1.489661e-01
 5.919918e+00  9.177857e+00  3.257939e+00  0.000000e+00
 2.817834e+00  4.257564e+00  1.439730e+00  1.971286e-01
 7.302265e-01  1.031041e+00  3.008141e-01  2.839427e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.839427e-01
 5.970376e-01  9.155609e-01  3.185233e-01  2.839427e-01
 2.044112e+00  2.898326e+00  8.542142e-01  2.361486e-01
 3.861508e+00  5.089749e+00  1.228240e+00  1.630883e-01
 4.398142e+00  5.193938e+00  7.957953e-01  1.508664e-01
 4.849999e+00  5.556911e+00  7.069119e-01  1.423679e-01
 5.396925e+00  6.183512e+00  7.865875e-01  0.000000e+00
 5.832826e+00  6.651861e+00  8.190353e-01  0.000000e+00
 6.453734e+00  7.784560e+00  1.330826e+00  0.000000e+00
 5.938013e+00  9.380142e+00  3.442129e+00  0.000000e+00
