#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 2.608135e+00  3.963323e+00  1.355188e+00  2.063361e-01
 5.917527e-01  8.495253e-01  2.577726e-01  2.839427e-01
 5.755893e-02  9.334328e-02  3.578435e-02  2.839427e-01
 7.084833e-01  1.060241e+00  3.517572e-01  2.839427e-01
 2.261909e+00  2.975909e+00  7.139996e-01  2.237714e-01
 4.131307e+00  5.114982e+00  9.836746e-01  1.566115e-01
 3.372061e+00  5.726840e+00  2.354779e+00  1.769729e-01
 1.932605e+00  3.937028e+00  2.004423e+00  2.428202e-01
 1.439078e+00  3.201777e+00  1.762699e+00  2.717001e-01
 2.326288e+00  4.356185e+00  2.029897e+00  2.203136e-01
 4.492848e+00  7.641203e+00  3.148355e+00  1.489661e-01
 5.919918e+00  9.178010e+00  3.258092e+00  0.000000e+00
 2.817834e+00  4.257746e+00  1.439913e+00  1.971286e-01
 7.302265e-01  1.031157e+00  3.009309e-01  2.839427e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.839427e-01
 5.970376e-01  9.154197e-01  3.183821e-01  2.839427e-01
 2.044112e+00  2.898044e+00  8.539323e-01  2.361486e-01
 3.861508e+00  5.089348e+00  1.227840e+00  1.630883e-01
 4.398142e+00  5.193624e+00  7.954815e-01  1.508664e-01
 4.849999e+00  5.556738e+00  7.067396e-01  1.423679e-01
 5.396925e+00  6.183511e+00  7.865861e-01  0.000000e+00
 5.832826e+00  6.652014e+00  8.191882e-01  0.000000e+00
 6.453734e+00  7.784815e+00  1.331081e+00  0.000000e+00
 5.938013e+00  9.380346e+00  3.442333e+00  0.000000e+00
