#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 9.360758e-01  6.292115e-01 -3.068643e-01  2.140170e-01
 1.545449e-02 -2.611093e-01 -2.765637e-01  2.140170e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.140170e-01
 8.026712e-01  1.135412e+00  3.327407e-01  2.140170e-01
 1.862606e+00  2.357535e+00  4.949287e-01  1.862328e-01
 2.345563e+00  2.898341e+00  5.527775e-01  1.652916e-01
 1.892568e+00  2.374195e+00  4.816270e-01  1.848548e-01
 8.911973e-01  1.172849e+00  2.816519e-01  2.140170e-01
 5.493262e-02  6.860171e-02  1.366909e-02  2.140170e-01
 4.992698e-02 -1.981092e-01 -2.480361e-01  2.140170e-01
 9.247518e-01  6.523985e-01 -2.723533e-01  2.140170e-01
 1.697604e+00  1.547664e+00 -1.499401e-01  1.938188e-01
 9.272797e-01  6.761302e-01 -2.511494e-01  2.140170e-01
 5.234339e-02 -1.945605e-01 -2.469039e-01  2.140170e-01
 5.408291e-02  7.476957e-02  2.068666e-02  2.140170e-01
 8.969857e-01  1.188648e+00  2.916620e-01  2.140170e-01
 1.904155e+00  2.406726e+00  5.025709e-01  1.843231e-01
 2.345326e+00  2.926814e+00  5.814878e-01  1.653010e-01
 1.869152e+00  2.366011e+00  4.968589e-01  1.859314e-01
 8.276229e-01  1.143229e+00  3.156064e-01  2.140170e-01
 1.147709e-02  3.804592e-02  2.656883e-02  2.140170e-01
 1.209713e-02 -2.188752e-01 -2.309723e-01  2.140170e-01
 9.201853e-01  6.698512e-01 -2.503340e-01  2.140170e-01
 1.699244e+00  1.526193e+00 -1.730508e-01  1.937442e-01
