#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 9.360758e-01  6.569778e-01 -2.790980e-01  2.140170e-01
 1.545449e-02 -2.457111e-01 -2.611656e-01  2.140170e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.140170e-01
 8.026712e-01  1.118438e+00  3.157665e-01  2.140170e-01
 1.862606e+00  2.325370e+00  4.627637e-01  1.862328e-01
 2.345563e+00  2.859196e+00  5.136334e-01  1.652916e-01
 1.892568e+00  2.340846e+00  4.482775e-01  1.848548e-01
 8.911973e-01  1.154098e+00  2.629003e-01  2.140170e-01
 5.493262e-02  6.700262e-02  1.207000e-02  2.140170e-01
 4.992698e-02 -1.839584e-01 -2.338854e-01  2.140170e-01
 9.247518e-01  6.791572e-01 -2.455946e-01  2.140170e-01
 1.697604e+00  1.581530e+00 -1.160739e-01  1.938188e-01
 9.272797e-01  7.035408e-01 -2.237388e-01  2.140170e-01
 5.234339e-02 -1.795683e-01 -2.319116e-01  2.140170e-01
 5.408291e-02  7.411833e-02  2.003542e-02  2.140170e-01
 8.969857e-01  1.170814e+00  2.738279e-01  2.140170e-01
 1.904155e+00  2.374006e+00  4.698503e-01  1.843231e-01
 2.345326e+00  2.887648e+00  5.423217e-01  1.653010e-01
 1.869152e+00  2.333195e+00  4.640422e-01  1.859314e-01
 8.276229e-01  1.125308e+00  2.976852e-01  2.140170e-01
 1.147709e-02  3.708381e-02  2.560672e-02  2.140170e-01
 1.209713e-02 -2.043199e-01 -2.164170e-01  2.140170e-01
 9.201853e-01  6.966814e-01 -2.235039e-01  2.140170e-01
 1.699244e+00  1.560038e+00 -1.392067e-01  1.937442e-01
