#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 3.675167e+01  3.019318e+01 -6.558488e+00  0.000000e+00
 2.649955e+01  2.382484e+01 -2.674709e+00  0.000000e+00
 1.760029e+01  1.668238e+01 -9.179108e-01  0.000000e+00
 1.034987e+01  1.036469e+01  1.481797e-02  0.000000e+00
 4.962757e+00  5.164603e+00  2.018455e-01  2.613988e-01
 1.510824e+00  1.626385e+00  1.155613e-01  4.986909e-01
 0.000000e+00  0.000000e+00  0.000000e+00  5.284515e-01
 4.854308e-01  4.610962e-01 -2.433459e-02  5.284515e-01
 3.008698e+00  3.171128e+00  1.624303e-01  3.527834e-01
 7.764535e+00  8.080169e+00  3.156334e-01  0.000000e+00
 1.490107e+01  1.480794e+01 -9.312953e-02  0.000000e+00
 2.440861e+01  2.271077e+01 -1.697844e+00  0.000000e+00
 3.578966e+01  3.044235e+01 -5.347312e+00  0.000000e+00
