#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 3.675167e+01  2.970075e+01 -7.050917e+00  0.000000e+00
 2.649955e+01  2.343876e+01 -3.060790e+00  0.000000e+00
 1.760029e+01  1.642226e+01 -1.178033e+00  0.000000e+00
 1.034987e+01  1.021233e+01 -1.375345e-01  0.000000e+00
 4.962757e+00  5.097087e+00  1.343299e-01  2.613988e-01
 1.510824e+00  1.610897e+00  1.000733e-01  4.986909e-01
 0.000000e+00  0.000000e+00  0.000000e+00  5.284515e-01
 4.854308e-01  4.401090e-01 -4.532177e-02  5.284515e-01
 3.008698e+00  3.095241e+00  8.654301e-02  3.527834e-01
 7.764535e+00  7.923853e+00  1.593180e-01  0.000000e+00
 1.490107e+01  1.455426e+01 -3.468041e-01  0.000000e+00
 2.440861e+01  2.235096e+01 -2.057647e+00  0.000000e+00
 3.578966e+01  2.998352e+01 -5.806150e+00  0.000000e+00
