#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 3.340290e+01  2.165963e+01 -1.174327e+01  0.000000e+00
 2.270823e+01  1.541184e+01 -7.296392e+00  0.000000e+00
 1.390579e+01  9.171569e+00 -4.734219e+00  0.000000e+00
 7.407948e+00  4.383133e+00 -3.024815e+00  0.000000e+00
 3.058818e+00  1.460652e+00 -1.598166e+00  3.350495e-01
 6.480830e-01  1.306505e-01 -5.174325e-01  5.068921e-01
 0.000000e+00  0.000000e+00  0.000000e+00  5.068921e-01
 5.478986e-01 -2.566489e-01 -8.045475e-01  5.068921e-01
 2.956795e+00  1.047409e+00 -1.909385e+00  3.419402e-01
 7.303927e+00  4.118060e+00 -3.185868e+00  0.000000e+00
 1.383378e+01  9.056104e+00 -4.777674e+00  0.000000e+00
 2.265169e+01  1.535211e+01 -7.299584e+00  0.000000e+00
 3.339349e+01  2.171438e+01 -1.167912e+01  0.000000e+00
